Sample ID	Depth top [m] (Foram sample depths)	Depth bot [m] (Foram sample depths)	Depth sed [m]	Age dated [ka]	B. digitata [#] (Counting)	B. praeadamsi [#] (Counting)	D. conglomerata [#] (Counting)	D. pseudofoliata [#] (Counting)	G. bulloides [#] (Counting)	G. bulloides [#] (Counting)	G. clarkei [#] (Counting)	G. falconensis [#] (Counting)	G. quinqueloba [#] (Counting)	G. umbilicata [#] (Counting)	G. aequilateralis [#] (Counting)	G. calida [#] (Counting)	G. obesa [#] (Counting)	G. praecalida [#] (Counting)	G. glutinata [#] (Counting)	G. uvula [#] (Counting)	G. elongatus [#] (Counting)	G. ruber w [#] (Counting)	G. sacculifer [#] (Counting)	G. crassaformis [#] (Counting)	G. crassula [#] (Counting)	G. hirsuta [#] (Counting)	G. inflata d [#] (Counting)	G. inflata s [#] (Counting)	G. scitula [#] (Counting)	G. truncatulinoides [#] (Counting)	G. hexagona [#] (Counting)	G. rubescens white [#] (Counting)	G. tenella [#] (Counting)	N. dutertrei [#] (Counting)	N. pachyderma d [#] (Counting)	N. pachyderma s [#] (Counting)	O. universa [#] (Counting)	P. obliquiloculata [#] (Counting)	T. iota [#] (Counting)	Foram [#] (Counting)	G. bulloides [%] (Calculated)	G. inflata s [%] (Calculated)	G. truncatulinoides [%] (Calculated)	N. pachyderma d [%] (Calculated)	N. pachyderma s [%] (Calculated)	G. glutinata [%] (Calculated)
FR1-94-GC3, 115-116	1.15	1.16	1.155	111.40	0	0	0	0	114	0	0	3	11	1	1	0	0	1	19	0	1	1	0	0	0	1	0	63	1	25	0	9	0	6	119	9	2	0	1	388	29.38144330	6.443298969	6.443298969	30.670103090	2.319587629	4.896907216
FR1-94-GC3, 120-121	1.20	1.21	1.205	115.92	1	0	0	0	92	0	0	6	15	1	1	0	0	8	26	0	1	2	0	0	0	1	0	56	2	33	0	4	0	5	140	6	4	0	1	405	22.71604938	11.851851850	8.148148148	34.567901230	1.481481481	6.419753086
FR1-94-GC3, 125-126	1.25	1.26	1.255	120.78	1	0	0	0	102	0	0	4	10	1	1	0	0	1	29	0	1	1	0	0	0	1	0	68	3	21	0	2	0	5	130	13	2	0	0	396	25.75757576	14.141414140	5.303030303	32.828282830	3.282828283	7.323232323
FR1-94-GC3, 130-131	1.30	1.31	1.305	125.50	1	0	0	0	95	0	0	4	6	0	1	1	0	3	29	0	0	4	0	1	0	1	1	63	3	24	0	8	1	4	140	16	5	0	1	412	23.05825243	14.320388350	5.825242718	33.980582520	3.883495146	7.038834951
FR1-94-GC3, 135-136	1.35	1.36	1.355	128.10	1	0	0	0	131	0	0	0	7	1	1	0	0	4	40	0	1	2	0	1	0	1	0	54	6	21	0	2	0	2	118	22	8	0	3	426	30.75117371	10.798122070	4.929577465	27.699530520	5.164319249	9.389671362
FR1-94-GC3, 140-141	1.40	1.41	1.405	130.70	1	0	0	0	89	0	0	2	19	1	1	0	1	1	32	1	0	2	1	1	0	0	0	31	2	14	0	1	1	2	99	39	2	0	0	343	25.94752187	18.075801750	4.081632653	28.862973760	11.370262390	9.329446064
FR1-94-GC3, 145-146	1.45	1.46	1.455	133.30	0	0	0	0	133	0	0	1	17	1	0	0	2	0	43	0	0	0	0	0	0	0	0	56	6	16	0	1	0	3	69	63	1	0	0	412	32.28155340	15.291262140	3.883495146	16.747572820	15.291262140	10.436893200
FR1-94-GC3, 150-151	1.50	1.51	1.505	136.90	1	0	0	0	143	0	0	1	22	1	0	0	0	0	36	0	0	0	0	1	0	0	0	33	0	13	0	0	0	1	62	80	1	0	1	396	36.11111111	11.363636360	3.282828283	15.656565660	20.202020200	9.090909091
FR1-94-GC3, 155-156	1.55	1.56	1.555	143.30	0	0	0	0	164	0	0	2	30	1	0	0	2	1	29	0	0	0	0	0	0	0	0	49	2	14	0	1	0	1	81	49	1	0	0	427	38.40749415	7.259953162	3.278688525	18.969555040	11.475409840	6.791569087
FR1-94-GC3, 160-161	1.60	1.61	1.605	151.32	0	0	0	0	167	0	2	2	6	1	0	0	0	0	23	0	0	0	0	0	0	0	1	50	2	11	0	0	0	0	90	37	1	0	2	395	42.27848101	10.379746840	2.784810127	22.784810130	9.367088608	5.822784810
