Event	Depth sed [m]	Depth top [m]	Depth bot [m]	Depth adj [ambsf] (spliced)	Age [ka BP]	N. pachyderma s δ18O [‰ PDB] (vs. VPDB)	N. pachyderma s δ13C [‰ PDB] (vs. VPDB)	Cibicidoides spp. δ18O [‰ PDB] (C. wuellerstorfi or C. kullen...)	Cibicidoides spp. δ13C [‰ PDB] (C. wuellerstorfi or C. kullen...)	CaCO3 [%]	TC [%]	TOC [%]	Wet m [g]	Dry m [g]	Samp m [g] (dry)	Water wm [%]	100-63 µm [%]	150-100 µm [%]	500-150 µm [%]	1-0.5 mm [%]	>1 mm [%]	<63 µm [%]	Volc grains [#] (Counting >1000 µm fraction)	Lithic [#] (Counting >1000 µm fraction)	Volc glass basalt [%] (Counting >1000 µm fraction)	Volc glass rhyolit [%] (Counting >1000 µm fraction)	Volc grains [#] (Counting 500-1000 µm fraction)	Lithic [#] (Counting 500-1000 µm fraction)	Volc glass basalt [%] (Counting 500-1000 µm fraction)	Volc glass rhyolit [%] (Counting 500-1000 µm fraction)	Volc grains [#] (Counting 150-500 µm fraction)	Lithic [#] (Counting 150-500 µm fraction)	Volc glass basalt [%] (Counting 150-500 µm fraction)	Volc glass rhyolit [%] (Counting 150-500 µm fraction)	N. pachyderma [%] (formerly N. pachyderma sinist...)	N. incompta [%] (formerly N. pachyderma dextra...)	T. quinqueloba [%] (Counting 150-500 µm fraction)	G. bulloides [%] (Counting 150-500 µm fraction)	G. uvula [%] (Counting 150-500 µm fraction)	G. falconensis [%] (Counting 150-500 µm fraction)	G. inflata [%] (Counting 150-500 µm fraction)	G. glutinata [%] (Counting 150-500 µm fraction)	N. dutertrei [%] (Counting 150-500 µm fraction)	Foram plankt oth [%] (other/unidentified, Counting ...)	Foram plankt [#/g] (Counting 150-500 µm fraction)	B. marginata [#/g] (Counting 150-500 µm fraction)	Foram benth [#/g] (Counting 150-500 µm fraction)
JM96-1225/1-GC	0.525	0.52	0.53	0.525	16.2	2.71	-0.33	3.71	0.98				18.63	10.13	7.46	45.63	4.56	3.75	9.65	2.68	4.42	74.93	0.00	3.22	4.29	0.27	0.00	14.61	20.91	0.13	0	3619.00	1291.00	241.00													
JM96-1225/1-GC	0.535	0.53	0.54	0.535	16.5	3.88	-0.19			3.330	0.5200	0.120	16.78	10.32	6.93	38.50	4.18	3.03	6.20	2.31	4.33	79.94				0.00																					
JM96-1225/1-GC	0.545	0.54	0.55	0.545	16.8	3.79	0.03						33.83	19.57	19.57	42.15	5.16	4.55	14.05	5.83	7.41	63.00	0.00	2.25	1.69	0.15	0.00	23.64	23.16	1.61	0	1030.00	672.00	67.00	86.64	2.93	2.61	2.93	0.00	0.00	0.00	4.23	0.00	0.65	982		8.18
JM96-1225/1-GC	0.555	0.55	0.56	0.555	17.1	4.39	0.09	4.05	1.27	5.370	0.7800	0.130	13.12	8.73	5.91	33.46	3.89	3.55	9.81	1.86	10.15	70.73				0.00																					
JM96-1225/1-GC	0.565	0.56	0.57	0.565	17.5	3.97	-0.03	4.12	1.10	7.720	1.1600	0.240	20.20	11.98	8.37	40.69	4.78	3.82	11.11	1.79	1.08	77.42				0.00																					
JM96-1225/1-GC	0.575	0.57	0.58	0.575	17.8	4.39	-0.19	4.63	1.36				22.82	15.18	12.03	33.48	4.49	4.66	17.62	3.49	5.24	64.51				0.00																					
JM96-1225/1-GC	0.585	0.58	0.59	0.585	17.9	4.66	-0.09	3.84	0.99	5.050	0.8300	0.220	25.86	16.08	12.70	37.82	5.28	4.57	18.27	2.83	2.99	66.06				0.00																					
JM96-1225/1-GC	0.595	0.59	0.60	0.595	17.9	4.66	-0.02	4.39	1.30				26.29	16.66	12.87	36.63	3.81	3.73	17.33	3.03	4.90	67.21	0.00	3.11	1.32	0.16	0.00	24.17	46.67	1.06	0	709.00	1231.00	12.00	97.74	0.97	0.32	0.65	0.00	0.00	0.00	0.32	0.00	0.00	1239		4.97
JM96-1225/1-GC	0.605	0.60	0.61	0.605	18.0								7.11		10.00								0.00	1.80	0.40	0.00																					
JM96-1225/1-GC	0.615	0.61	0.62	0.615	18.1	4.79	-0.11	4.77	1.56				17.43	10.28	7.76	41.02	4.12	3.61	12.89	1.68	2.71	75.00				0.00																					
JM96-1225/1-GC	0.625	0.62	0.63	0.625	18.1	4.41	-0.11	3.57	1.22	10.040	1.3800	0.170	14.88	8.46	5.58	43.15	5.02	3.94	12.54	1.25	1.79	75.45	0.00	1.97	0.36	0.00	0.00	11.11	8.78	0.54	0	1935.00	948.00	39.00													
JM96-1225/1-GC	0.635	0.63	0.64	0.635	18.2	4.69	0.02	3.95	1.05				18.08	9.99	5.86	44.75	4.61	3.75	7.68	0.85	0.85	82.25				0.00																					
JM96-1225/1-GC	0.645	0.64	0.65	0.645	18.3	4.60	-0.05	4.76	1.50				15.96	8.29	8.29	48.06	5.55	5.79	16.04	2.17	1.45	69.00	0.00	1.21	1.09	0.24	0.00	9.53	8.32	1.21	0	3268.00	630.00	261.00	96.23	1.57	0.31	0.00	0.00	0.00	0.00	1.57	0.00	0.31	1726		11.58
JM96-1225/1-GC	0.655	0.65	0.66	0.655	18.3	4.40	-0.17	4.42	1.28				23.40	13.50	9.57	42.31	5.43	4.91	8.67	1.04	1.57	78.37				0.00																					
JM96-1225/1-GC	0.665	0.66	0.67	0.665	18.4	4.41									6.60		5.15	5.30	8.64	1.36	5.91	73.64				0.00																					
JM96-1225/1-GC	0.675	0.67	0.68	0.675	18.5	4.00	-0.24	4.62	1.70	9.600	1.3020	0.150	32.97	18.37	13.93	44.28	5.46	4.59	7.32	1.15	2.08	79.40	0.00	2.37	0.07	0.00	0.00	14.79	3.80	0.14	0	2705.00	215.00	0.00													
JM96-1225/1-GC	0.685	0.68	0.69	0.685	18.5	4.59									7.59		3.69	3.56	7.91	3.16	15.81	65.88				0.00																					
JM96-1225/1-GC	0.695	0.69	0.70	0.695	18.6	4.71	0.16	4.68	1.52				7.41	4.11	4.11	44.53	4.14	4.38	12.65	3.41	2.19	73.24	0.00	3.16	1.46	0.00	0.00	29.68	7.54	0.97	0	1653.00	192.00	16.00	96.62	1.01	0.00	0.68	0.34	0.00	0.00	1.35	0.00	0.00	2161		17.52
JM96-1225/1-GC	0.710	0.70	0.72	0.710	18.7	4.41	0.07	3.54	0.74				48.74	23.67	18.09	51.44	3.34	4.59	12.77	3.32	5.80	70.18				0.00																					
JM96-1225/1-GC	0.725	0.72	0.73	0.725	18.8	4.65	0.14	4.78	1.71	8.180	1.1100	0.130	19.76	10.63	7.83	46.20	2.30	1.92	5.87	2.04	6.90	80.97				0.00																					
JM96-1225/1-GC	0.735	0.73	0.74	0.735	18.9	4.73									11.74		2.13	1.96	5.96	1.70	10.14	78.11				0.00																					
JM96-1225/1-GC	0.745	0.74	0.75	0.745	18.9	4.67	-0.12	4.63	1.40				15.77	8.22	8.22	47.88	2.43	2.55	11.92	3.89	1.95	77.25	0.00	2.07	0.12	0.00	0.00	10.58	1.22	0.24	0	1889.00	194.00	0.00	97.71	1.63	0.00	0.00	0.00	0.00	0.00	0.65	0.00	0.00	536		8.76
JM96-1225/1-GC	0.755	0.75	0.76	0.755	19.0	4.67									4.18		0.72	0.72	1.67	0.96	1.20	94.74				0.00																					
JM96-1225/1-GC	0.765	0.76	0.77	0.765	19.1	4.30	-0.15	4.60	1.51	3.040	0.5100	0.150	12.61	6.80	3.09	46.07	0.97	0.65	1.29	0.32	0.32	96.44				0.00																					
JM96-1225/1-GC	0.775	0.77	0.78	0.775	19.1										14.19		1.90	1.20	2.11	1.06	8.39	85.34				0.00																					
JM96-1225/1-GC	0.785	0.78	0.79	0.785	19.2	4.43				2.080	0.3200	0.070			3.16		0.95	0.63	1.27	0.32	1.90	94.94				0.00																					
JM96-1225/1-GC	0.795	0.79	0.80	0.795	19.3	4.23	0.08						12.64	6.22	6.22	50.79	1.13	1.45	9.00	3.05	1.61	83.76	0.00	1.61	0.00	0.00	0.00	8.84	1.29	0.16	0	489.00	69.00	24.00	67.44	13.02	3.72	9.77	0.00	0.00	0.00	6.05	0.00	0.00	138		4.18
JM96-1225/1-GC	0.805	0.80	0.81	0.805	19.3										7.00								0.00	4.57	0.00	0.00	0.00	19.00	5.14	0.00																	
JM96-1225/1-GC	0.815	0.81	0.82	0.815	19.4	4.56				6.320	0.8900	0.130			6.64		3.16	3.31	8.58	3.77	9.04	72.14				0.00																					
JM96-1225/1-GC	0.825	0.82	0.83	0.825	19.5	4.58	0.16	4.63	1.64	1.530	1.3300	1.150	20.61	11.12	7.82	46.05	2.94	3.32	10.87	3.58	8.31	70.97				0.00																					
JM96-1225/1-GC	0.835	0.83	0.84	0.835	19.5										10.15		2.96	3.05	10.54	2.76	2.56	78.13				0.00																					
