Depth sed [m]	N. pachyderma s [%]	N. pachyderma s [#]	Foram plankt indet [#]	Foram plankt [#/10 cm**3]	N. pachyderma s [#/g]	Foram plankt indet [#/g]
0.56	98.4	11454	11646	2061	249	253.4
0.57	98.8	7998	8094	1433	245	248.0
0.58	96.9	9982	10302	1823	289	298.0
0.59	95.7	15550	16254	2877	385	402.1
0.60	98.1	11390	11614	1553		
0.61	97.1	4846	4990	1763	372	383.1
0.62	97.6	14046	14398	2548	440	451.2
0.63	96.2	8894	9246	1636	291	302.8
0.64	96.5	9246	9582	1696	296	307.1
0.65	98.3	14122	14363	2542	510	519.0
0.66	94.9	8686	9150	1619	265	279.0
0.67	96.8	7674	7914	1401	281	290.1
0.68	96.6	6270	6494	1149	222	229.5
0.69	96.1	11870	12350	2186	279	290.2
0.70	97.6	9790	10030	2152		
0.71	97.4	6494	6670	1181	302	310.2
0.72	94.8	10078	10622	1880	369	388.6
0.73	97.0	13342	13758	2435	455	469.4
0.74	96.5	33118	34334	6077	844	874.9
0.75	97.9	14718	15038	2662	616	629.0
0.76	96.3	18142	18846	3336	518	538.2
0.77	97.4	9406	9662	1710	367	377.5
0.78	93.9	10302	10974	1942	309	328.9
0.79	94.3	4734	5022	1268	337	357.8
0.80	96.9	14958	15438	2064		
0.81	94.5	15422	16318	3610	511	540.8
0.82	94.2	17086	18142	3211	481	511.0
0.83	91.7	13790	15038	2662	572	623.5
0.84	94.9	28766	30302	5363	799	841.8
0.85	96.2	19694	20462	3622	613	637.1
0.86	92.8	18846	20318	3596	705	760.0
0.87	95.9	28126	29342	5193	726	757.2
0.88	95.0	19422	20446	3619	736	775.2
0.89	94.3	29406	31198	5522	792	840.5
0.90	95.2	21470	22558	4841		
0.91	95.6	27550	28830	5103	782	818.0
0.92	94.8	19870	20958	3709	641	676.4
0.93	97.1	19102	19678	3483	713	734.4
0.94	95.7	25950	27102	4797	785	820.1
0.95	97.7	20254	20734	3670	847	867.2
0.96	94.3	23326	24734	4378	792	839.6
0.97	95.5	38174	39966	7074	877	918.4
0.98	95.7	14366	15006	2006		
0.99	96.1	27102	28190	9961	873	907.9
1.00	97.5	18654	19134	3387	514	527.7
1.01	96.5	28382	29406	5205	854	885.1
1.02	97.7	18654	19102	3381	680	696.8
1.03	96.8	25438	26270	4650	832	858.8
1.04	95.2	45726	48030	8501	1312	1378.4
1.05	95.8	44318	46238	8184	1296	1351.8
1.06	96.0	27998	29150	5159	1122	1168.4
1.07	95.2	53534	56222	9951	1245	1307.5
1.08	96.6	29022	30046	3543	874	905.0
1.10	96.6	27294	28254	3777		
