Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Relative Abundance
17938-2,Piston core,19.78,117.53,2840,SCS,5.35,symbiont-barren,non-spinose,0.02730375426
17938-2,Piston core,19.78,117.53,2840,SCS,5.35,symbiont-barren,spinose,0.06484641638
17938-2,Piston core,19.78,117.53,2840,SCS,5.35,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.35,symbiont-bearing,spinose,0.00853242321
17938-2,Piston core,19.78,117.53,2840,SCS,5.35,symbiont-facultative,non-spinose,0.64675767916
17938-2,Piston core,19.78,117.53,2840,SCS,5.35,symbiont-obligate,spinose,0.11604095563
17938-2,Piston core,19.78,117.53,2840,SCS,5.35,undetermined,non-spinose,0.00341296928
17938-2,Piston core,19.78,117.53,2840,SCS,5.45,symbiont-barren,non-spinose,0.01428571429
17938-2,Piston core,19.78,117.53,2840,SCS,5.45,symbiont-barren,spinose,0.1306122449
17938-2,Piston core,19.78,117.53,2840,SCS,5.45,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.45,symbiont-bearing,spinose,0.01632653061
17938-2,Piston core,19.78,117.53,2840,SCS,5.45,symbiont-facultative,non-spinose,0.54081632656
17938-2,Piston core,19.78,117.53,2840,SCS,5.45,symbiont-obligate,spinose,0.14693877551
17938-2,Piston core,19.78,117.53,2840,SCS,5.45,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.55,symbiont-barren,non-spinose,0.05394190871
17938-2,Piston core,19.78,117.53,2840,SCS,5.55,symbiont-barren,spinose,0.0622406639
17938-2,Piston core,19.78,117.53,2840,SCS,5.55,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.55,symbiont-bearing,spinose,0.01659751037
17938-2,Piston core,19.78,117.53,2840,SCS,5.55,symbiont-facultative,non-spinose,0.64315352697
17938-2,Piston core,19.78,117.53,2840,SCS,5.55,symbiont-obligate,spinose,0.10788381742
17938-2,Piston core,19.78,117.53,2840,SCS,5.55,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.6,symbiont-barren,non-spinose,0.02409638555
17938-2,Piston core,19.78,117.53,2840,SCS,5.6,symbiont-barren,spinose,0.07784986098
17938-2,Piston core,19.78,117.53,2840,SCS,5.6,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.6,symbiont-bearing,spinose,0.00370713624
17938-2,Piston core,19.78,117.53,2840,SCS,5.6,symbiont-facultative,non-spinose,0.64411492124
17938-2,Piston core,19.78,117.53,2840,SCS,5.6,symbiont-obligate,spinose,0.12048192771
17938-2,Piston core,19.78,117.53,2840,SCS,5.6,undetermined,non-spinose,0.00092678406
17938-2,Piston core,19.78,117.53,2840,SCS,5.65,symbiont-barren,non-spinose,0.02549575071
17938-2,Piston core,19.78,117.53,2840,SCS,5.65,symbiont-barren,spinose,0.05099150142
17938-2,Piston core,19.78,117.53,2840,SCS,5.65,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.65,symbiont-bearing,spinose,0.01983002833
17938-2,Piston core,19.78,117.53,2840,SCS,5.65,symbiont-facultative,non-spinose,0.68555240791
17938-2,Piston core,19.78,117.53,2840,SCS,5.65,symbiont-obligate,spinose,0.09915014165
17938-2,Piston core,19.78,117.53,2840,SCS,5.65,undetermined,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.75,symbiont-barren,non-spinose,0.0133037694
17938-2,Piston core,19.78,117.53,2840,SCS,5.75,symbiont-barren,spinose,0.05986696231
17938-2,Piston core,19.78,117.53,2840,SCS,5.75,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.75,symbiont-bearing,spinose,0.0022172949
17938-2,Piston core,19.78,117.53,2840,SCS,5.75,symbiont-facultative,non-spinose,0.65410199561
17938-2,Piston core,19.78,117.53,2840,SCS,5.75,symbiont-obligate,spinose,0.12195121951
17938-2,Piston core,19.78,117.53,2840,SCS,5.75,undetermined,non-spinose,0.0044345898
17938-2,Piston core,19.78,117.53,2840,SCS,5.85,symbiont-barren,non-spinose,0.01678321678
17938-2,Piston core,19.78,117.53,2840,SCS,5.85,symbiont-barren,spinose,0.04055944056
17938-2,Piston core,19.78,117.53,2840,SCS,5.85,symbiont-bearing,non-spinose,0
17938-2,Piston core,19.78,117.53,2840,SCS,5.85,symbiont-bearing,spinose,0.0041958042
17938-2,Piston core,19.78,117.53,2840,SCS,5.85,symbiont-facultative,non-spinose,0.79580419583
17938-2,Piston core,19.78,117.53,2840,SCS,5.85,symbiont-obligate,spinose,0.06853146853
17938-2,Piston core,19.78,117.53,2840,SCS,5.85,undetermined,non-spinose,0.0027972028
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.61,symbiont-barren,non-spinose,0.0762195122
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.61,symbiont-barren,spinose,0.04268292683
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.61,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.61,symbiont-bearing,spinose,0.00914634146
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.61,symbiont-facultative,non-spinose,0.54573170733
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.61,symbiont-obligate,spinose,0.11280487805
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.61,undetermined,non-spinose,0.00914634146
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.65,symbiont-barren,non-spinose,0.06965174129
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.65,symbiont-barren,spinose,0.06467661692
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.65,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.65,symbiont-bearing,spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.65,symbiont-facultative,non-spinose,0.56218905472
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.65,symbiont-obligate,spinose,0.10447761195
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.65,undetermined,non-spinose,0.00995024876
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.69,symbiont-barren,non-spinose,0.08163265306
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.69,symbiont-barren,spinose,0.05612244898
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.69,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.69,symbiont-bearing,spinose,0.00510204082
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.69,symbiont-facultative,non-spinose,0.65306122447
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.69,symbiont-obligate,spinose,0.08673469388
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.69,undetermined,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.73,symbiont-barren,non-spinose,0.05362776024
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.73,symbiont-barren,spinose,0.05047318612
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.73,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.73,symbiont-bearing,spinose,0.01261829653
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.73,symbiont-facultative,non-spinose,0.58044164033
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.73,symbiont-obligate,spinose,0.15457413249
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.73,undetermined,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.77,symbiont-barren,non-spinose,0.04810996564
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.77,symbiont-barren,spinose,0.07216494845
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.77,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.77,symbiont-bearing,spinose,0.00343642612
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.77,symbiont-facultative,non-spinose,0.67353951886
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.77,symbiont-obligate,spinose,0.07560137457
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.77,undetermined,non-spinose,0.01718213058
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.81,symbiont-barren,non-spinose,0.02926829268
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.81,symbiont-barren,spinose,0.07804878049
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.81,symbiont-bearing,non-spinose,0
31-KL,Giant piston core,18.75,115.87,3360,SCS,1.81,symbiont-bearing,spinose,0
