Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,symbiont-barren,non-spinose,105
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,symbiont-barren,spinose,62
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,symbiont-facultative,non-spinose,79
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,symbiont-obligate,spinose,55
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.27,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,symbiont-barren,non-spinose,84
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,symbiont-barren,spinose,80
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,symbiont-facultative,non-spinose,93
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,symbiont-obligate,spinose,62
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.3,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,symbiont-barren,non-spinose,88
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,symbiont-barren,spinose,84
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,symbiont-facultative,non-spinose,104
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,symbiont-obligate,spinose,64
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.33,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,symbiont-barren,non-spinose,61
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,symbiont-barren,spinose,42
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,symbiont-facultative,non-spinose,52
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,symbiont-obligate,spinose,50
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.36,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,symbiont-barren,non-spinose,95
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,symbiont-barren,spinose,64
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,symbiont-facultative,non-spinose,73
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,symbiont-obligate,spinose,63
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.39,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,symbiont-barren,non-spinose,66
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,symbiont-barren,spinose,52
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,symbiont-facultative,non-spinose,42
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,symbiont-obligate,spinose,46
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.42,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,symbiont-barren,non-spinose,92
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,symbiont-barren,spinose,40
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,symbiont-bearing,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,symbiont-facultative,non-spinose,54
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,symbiont-obligate,spinose,37
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,3.45,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,symbiont-barren,non-spinose,129
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,symbiont-barren,spinose,89
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,symbiont-facultative,non-spinose,82
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,symbiont-obligate,spinose,54
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.25,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,symbiont-barren,non-spinose,116
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,symbiont-barren,spinose,107
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,symbiont-facultative,non-spinose,71
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,symbiont-obligate,spinose,37
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.3,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,symbiont-barren,non-spinose,104
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,symbiont-barren,spinose,105
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,symbiont-facultative,non-spinose,49
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,symbiont-obligate,spinose,67
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.35,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,symbiont-barren,non-spinose,120
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,symbiont-barren,spinose,101
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,symbiont-facultative,non-spinose,51
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,symbiont-obligate,spinose,43
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.4,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,symbiont-barren,non-spinose,95
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,symbiont-barren,spinose,109
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,symbiont-facultative,non-spinose,43
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,symbiont-obligate,spinose,53
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.45,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,symbiont-barren,non-spinose,95
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,symbiont-barren,spinose,96
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,symbiont-facultative,non-spinose,50
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,3.5,symbiont-facultative,spinose,0
