Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
MD95-2040,40.581833,-9.861167,3.92,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.92,symbiont-facultative,non-spinose,139
MD95-2040,40.581833,-9.861167,3.92,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.92,symbiont-obligate,spinose,58
MD95-2040,40.581833,-9.861167,3.92,undetermined,non-spinose,7
MD95-2040,40.581833,-9.861167,3.95,symbiont-barren,non-spinose,190
MD95-2040,40.581833,-9.861167,3.95,symbiont-barren,spinose,86
MD95-2040,40.581833,-9.861167,3.95,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.95,symbiont-bearing,spinose,1
MD95-2040,40.581833,-9.861167,3.95,symbiont-facultative,non-spinose,126
MD95-2040,40.581833,-9.861167,3.95,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.95,symbiont-obligate,spinose,51
MD95-2040,40.581833,-9.861167,3.95,undetermined,non-spinose,3
MD95-2040,40.581833,-9.861167,3.98,symbiont-barren,non-spinose,151
MD95-2040,40.581833,-9.861167,3.98,symbiont-barren,spinose,89
MD95-2040,40.581833,-9.861167,3.98,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,3.98,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,3.98,symbiont-facultative,non-spinose,91
MD95-2040,40.581833,-9.861167,3.98,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,3.98,symbiont-obligate,spinose,52
MD95-2040,40.581833,-9.861167,3.98,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.01,symbiont-barren,non-spinose,124
MD95-2040,40.581833,-9.861167,4.01,symbiont-barren,spinose,102
MD95-2040,40.581833,-9.861167,4.01,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.01,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.01,symbiont-facultative,non-spinose,64
MD95-2040,40.581833,-9.861167,4.01,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.01,symbiont-obligate,spinose,39
MD95-2040,40.581833,-9.861167,4.01,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.04,symbiont-barren,non-spinose,476
MD95-2040,40.581833,-9.861167,4.04,symbiont-barren,spinose,200
MD95-2040,40.581833,-9.861167,4.04,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.04,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.04,symbiont-facultative,non-spinose,207
MD95-2040,40.581833,-9.861167,4.04,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.04,symbiont-obligate,spinose,70
MD95-2040,40.581833,-9.861167,4.04,undetermined,non-spinose,6
MD95-2040,40.581833,-9.861167,4.07,symbiont-barren,non-spinose,246
MD95-2040,40.581833,-9.861167,4.07,symbiont-barren,spinose,116
MD95-2040,40.581833,-9.861167,4.07,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.07,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.07,symbiont-facultative,non-spinose,105
MD95-2040,40.581833,-9.861167,4.07,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.07,symbiont-obligate,spinose,36
MD95-2040,40.581833,-9.861167,4.07,undetermined,non-spinose,5
MD95-2040,40.581833,-9.861167,4.1,symbiont-barren,non-spinose,184
MD95-2040,40.581833,-9.861167,4.1,symbiont-barren,spinose,114
MD95-2040,40.581833,-9.861167,4.1,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.1,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.1,symbiont-facultative,non-spinose,80
MD95-2040,40.581833,-9.861167,4.1,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.1,symbiont-obligate,spinose,28
MD95-2040,40.581833,-9.861167,4.1,undetermined,non-spinose,4
MD95-2040,40.581833,-9.861167,4.13,symbiont-barren,non-spinose,199
MD95-2040,40.581833,-9.861167,4.13,symbiont-barren,spinose,118
MD95-2040,40.581833,-9.861167,4.13,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.13,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.13,symbiont-facultative,non-spinose,97
MD95-2040,40.581833,-9.861167,4.13,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.13,symbiont-obligate,spinose,21
MD95-2040,40.581833,-9.861167,4.13,undetermined,non-spinose,5
MD95-2040,40.581833,-9.861167,4.16,symbiont-barren,non-spinose,231
MD95-2040,40.581833,-9.861167,4.16,symbiont-barren,spinose,118
MD95-2040,40.581833,-9.861167,4.16,symbiont-bearing,non-spinose,1
