Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,total,Relative Abundance
GIK12392-1,25.172,-16.845,1.725,undetermined,non-spinose,-5150,200.39999999999998,0.005
K708-001,50,-23.733,1.1,symbiont-barren,non-spinose,-28371,700,0.914
K708-001,50,-23.733,1.1,symbiont-barren,spinose,-12159,300,0.081
K708-001,50,-23.733,1.1,symbiont-bearing,spinose,-12159,300,0
K708-001,50,-23.733,1.1,symbiont-facultative,non-spinose,-16212,400,0.005
K708-001,50,-23.733,1.1,symbiont-obligate,spinose,-24318,600,0
K708-001,50,-23.733,1.1,undetermined,non-spinose,-8106,200,0
K708-004,49.983,-25.017,0.58,symbiont-barren,non-spinose,-23422,700,0.979
K708-004,49.983,-25.017,0.58,symbiont-barren,spinose,-10038,300,0.019
K708-004,49.983,-25.017,0.58,symbiont-bearing,spinose,-10038,300,0
K708-004,49.983,-25.017,0.58,symbiont-facultative,non-spinose,-13384,400,0.002
K708-004,49.983,-25.017,0.58,symbiont-obligate,spinose,-20076,600,0
K708-004,49.983,-25.017,0.58,undetermined,non-spinose,-6692,200,0
K708-006,51.55,-29.567,0.6,symbiont-barren,non-spinose,-17283,700,0.935
K708-006,51.55,-29.567,0.6,symbiont-barren,spinose,-7407,300,0.065
K708-006,51.55,-29.567,0.6,symbiont-bearing,spinose,-7407,300,0
K708-006,51.55,-29.567,0.6,symbiont-facultative,non-spinose,-9876,400,0
K708-006,51.55,-29.567,0.6,symbiont-obligate,spinose,-14814,600,0
K708-006,51.55,-29.567,0.6,undetermined,non-spinose,-4938,200,0
K708-007,53.933,-24.083,0.53,symbiont-barren,non-spinose,-24514,699.9999999999999,0.965
K708-007,53.933,-24.083,0.53,symbiont-barren,spinose,-10506,299.99999999999994,0.035
K708-007,53.933,-24.083,0.53,symbiont-bearing,spinose,-10506,299.99999999999994,0
K708-007,53.933,-24.083,0.53,symbiont-facultative,non-spinose,-14008,399.99999999999994,0
K708-007,53.933,-24.083,0.53,symbiont-obligate,spinose,-21012,599.9999999999999,0
K708-007,53.933,-24.083,0.53,undetermined,non-spinose,-7004,199.99999999999997,0
K708-008,52.733,-22.55,0.83,symbiont-barren,non-spinose,-28063,700,0.952
K708-008,52.733,-22.55,0.83,symbiont-barren,spinose,-12027,300,0.04
K708-008,52.733,-22.55,0.83,symbiont-bearing,spinose,-12027,300,0
K708-008,52.733,-22.55,0.83,symbiont-facultative,non-spinose,-16036,400,0.008
K708-008,52.733,-22.55,0.83,symbiont-obligate,spinose,-24054,600,0
K708-008,52.733,-22.55,0.83,undetermined,non-spinose,-8018,200,0
K714-3,57.486,-27.519,0.82,symbiont-barren,non-spinose,0,699.3,0.929
K714-3,57.486,-27.519,0.82,symbiont-barren,spinose,0,299.70000000000005,0.07
K714-3,57.486,-27.519,0.82,symbiont-bearing,spinose,0,299.70000000000005,0
K714-3,57.486,-27.519,0.82,symbiont-facultative,non-spinose,0,399.6,0
K714-3,57.486,-27.519,0.82,symbiont-obligate,spinose,0,599.4,0
K714-3,57.486,-27.519,0.82,undetermined,non-spinose,0,199.8,0
MD76-131,15.53,72.568,1.9,symbiont-barren,non-spinose,-8610,700.7,0.18299999999999997
MD76-131,15.53,72.568,1.9,symbiont-barren,spinose,-3690,300.29999999999995,0.12300000000000001
MD76-131,15.53,72.568,1.9,symbiont-bearing,spinose,-3690,300.29999999999995,0.059
MD76-131,15.53,72.568,1.9,symbiont-facultative,non-spinose,-4920,400.4,0.1
MD76-131,15.53,72.568,1.9,symbiont-obligate,spinose,-7380,600.6,0.486
MD76-131,15.53,72.568,1.9,undetermined,non-spinose,-2460,200.2,0.049999999999999996
MD77-169,10.13,95.03,1.51,symbiont-barren,non-spinose,-16520,701.3999999999999,0.144
MD77-169,10.13,95.03,1.51,symbiont-barren,spinose,-7080,300.59999999999997,0.097
MD77-169,10.13,95.03,1.51,symbiont-bearing,spinose,-7080,300.59999999999997,0.046000000000000006
MD77-169,10.13,95.03,1.51,symbiont-facultative,non-spinose,-9440,400.79999999999995,0.23099999999999998
MD77-169,10.13,95.03,1.51,symbiont-obligate,spinose,-14160,601.1999999999999,0.45799999999999996
MD77-169,10.13,95.03,1.51,undetermined,non-spinose,-4720,200.39999999999998,0.026000000000000002
MD77-171,11.46,94.09,2.61,symbiont-barren,non-spinose,-12320,700.7,0.16599999999999998
