Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,Absolute Abundance
RC08-18,-24.07,-15.12,0.2,symbiont-barren,non-spinose,-27839,0
RC08-18,-24.07,-15.12,0.2,symbiont-barren,spinose,-11931,0
RC08-18,-24.07,-15.12,0.2,symbiont-bearing,spinose,-11931,0
RC08-18,-24.07,-15.12,0.2,symbiont-facultative,non-spinose,-15908,0
RC08-18,-24.07,-15.12,0.2,symbiont-obligate,spinose,-27839,0
RC08-18,-24.07,-15.12,0.2,undetermined,non-spinose,-3977,0
RC08-39,-42.88,42.35,0.9,symbiont-barren,non-spinose,-30310,0
RC08-39,-42.88,42.35,0.9,symbiont-barren,spinose,-12990,0
RC08-39,-42.88,42.35,0.9,symbiont-bearing,spinose,-12990,0
RC08-39,-42.88,42.35,0.9,symbiont-facultative,non-spinose,-17320,0
RC08-39,-42.88,42.35,0.9,symbiont-obligate,spinose,-30310,0
RC08-39,-42.88,42.35,0.9,undetermined,non-spinose,-4330,0
RC08-94,-17.28,-35.983,0.16,symbiont-barren,non-spinose,-28147,0
RC08-94,-17.28,-35.983,0.16,symbiont-barren,spinose,-12063,0
RC08-94,-17.28,-35.983,0.16,symbiont-bearing,spinose,-12063,0
RC08-94,-17.28,-35.983,0.16,symbiont-facultative,non-spinose,-16084,0
RC08-94,-17.28,-35.983,0.16,symbiont-obligate,spinose,-28147,0
RC08-94,-17.28,-35.983,0.16,undetermined,non-spinose,-4021,0
RC09-124,-28.75,172.6,0.4,symbiont-barren,non-spinose,-17780,0
RC09-124,-28.75,172.6,0.4,symbiont-barren,spinose,-7620,0
RC09-124,-28.75,172.6,0.4,symbiont-bearing,spinose,-7620,0
RC09-124,-28.75,172.6,0.4,symbiont-facultative,non-spinose,-10160,0
RC09-124,-28.75,172.6,0.4,symbiont-obligate,spinose,-17780,0
RC09-124,-28.75,172.6,0.4,undetermined,non-spinose,-2540,0
RC09-126,-33.23,168.73,0.3,symbiont-barren,non-spinose,-14420,0
RC09-126,-33.23,168.73,0.3,symbiont-barren,spinose,-6180,0
RC09-126,-33.23,168.73,0.3,symbiont-bearing,spinose,-6180,0
RC09-126,-33.23,168.73,0.3,symbiont-facultative,non-spinose,-8240,0
RC09-126,-33.23,168.73,0.3,symbiont-obligate,spinose,-14420,0
RC09-126,-33.23,168.73,0.3,undetermined,non-spinose,-2060,0
RC09-150,-31.28,114.55,0.6,symbiont-barren,non-spinose,-18921,0
RC09-150,-31.28,114.55,0.6,symbiont-barren,spinose,-8109,0
RC09-150,-31.28,114.55,0.6,symbiont-bearing,spinose,-8109,0
RC09-150,-31.28,114.55,0.6,symbiont-facultative,non-spinose,-10812,0
RC09-150,-31.28,114.55,0.6,symbiont-obligate,spinose,-18921,0
RC09-150,-31.28,114.55,0.6,undetermined,non-spinose,-2703,0
RC09-161,19.567,59.6,1.8,symbiont-barren,non-spinose,-23324,0
RC09-161,19.567,59.6,1.8,symbiont-barren,spinose,-9996,0
RC09-161,19.567,59.6,1.8,symbiont-bearing,spinose,-9996,0
RC09-161,19.567,59.6,1.8,symbiont-facultative,non-spinose,-13328,0
RC09-161,19.567,59.6,1.8,symbiont-obligate,spinose,-23324,0
RC09-161,19.567,59.6,1.8,undetermined,non-spinose,-3332,0
RC09-162,19.083,60.417,0.5,symbiont-barren,non-spinose,-21644,0
RC09-162,19.083,60.417,0.5,symbiont-barren,spinose,-9276,0
RC09-162,19.083,60.417,0.5,symbiont-bearing,spinose,-9276,0
RC09-162,19.083,60.417,0.5,symbiont-facultative,non-spinose,-12368,0
RC09-162,19.083,60.417,0.5,symbiont-obligate,spinose,-21644,0
RC09-162,19.083,60.417,0.5,undetermined,non-spinose,-3092,0
RC09-225,54.983,-15.4,1.35,symbiont-barren,non-spinose,-16338,0
RC09-225,54.983,-15.4,1.35,symbiont-barren,spinose,-7002,0
RC09-225,54.983,-15.4,1.35,symbiont-bearing,spinose,-7002,0
RC09-225,54.983,-15.4,1.35,symbiont-facultative,non-spinose,-9336,0
RC09-225,54.983,-15.4,1.35,symbiont-obligate,spinose,-16338,0
RC09-225,54.983,-15.4,1.35,undetermined,non-spinose,-2334,0
RC09-49,11.184,-58.585,0.7,symbiont-barren,non-spinose,-12957,0
RC09-49,11.184,-58.585,0.7,symbiont-barren,spinose,-5553,0
RC09-49,11.184,-58.585,0.7,symbiont-bearing,spinose,-5553,0
RC09-49,11.184,-58.585,0.7,symbiont-facultative,non-spinose,-7404,0
RC09-49,11.184,-58.585,0.7,symbiont-obligate,spinose,-12957,0
RC09-49,11.184,-58.585,0.7,undetermined,non-spinose,-1851,0
RC09-49,11.184,-58.585,0.85,symbiont-barren,non-spinose,-12957,0
