Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
25.933,-26.58,0,0,0.25,0.50625,0.221875,0.00625,0,0.003125
50.1,-37.3,0.462633452,0,0.135231317,0.039145908,0.338078292,0,0,0
16.533,-28.85,0.023782037,0,0.250214401,0.572616025,0.1239321165,0.0092110035,0,0
54,-46.2,0.560954789666667,0,0.07314586,0.014727458,0.341704843666667,0,0,0
54.033,-46.87,0.528037383,0,0.044392524,0.002336449,0.404205608,0,0,0
54.467,-50.8,0.054740773,0,0,0,0.9426230225,0,0,0
54.733,-53.12,0.003816794,0,0,0,0.996183207,0,0,0
1,1.983,0.0184269665,0,0.591275281,0.301853933,0.063207865,0.015522472,0,0
3.05,-11.82,0,0,0.278688525,0.44262295,0.262295081,0.016393443,0,0
56.733,-54.7,0.010097561,0,0,0,0.987402439,0,0,0
1.05,-13.63,0.032738095,0,0.425595239,0.249999999,0.223214285,0.053571429,0,0
58.183,-44.62,0.121621621,0,0.002252252,0.002252252,0.871621622,0,0,0
60.7033,-37.275,0.405275779,0,0.07673861,0,0.496402877,0,0,0
61.367,-11.5,0.1690510015,0,0.083018544,0.00560117,0.706920684,0,0,0
63.45,-6.133,0.146453089,0,0.235697941,0.022883295,0.594965675,0,0,0
65.017,-6.217,0.210135971,0,0.002472188,0,0.786155748,0,0,0
76.167,-5.4,0.001510574,0,0,0,0.996978852,0,0,0
73.533,2.667,0.013888889,0,0,0,0.978395062,0,0,0
78.833,4.633,0.009244992,0,0,0,0.990755008,0,0,0
76.467,6.917,0.010830325,0,0,0,0.989169675,0,0,0
78.117,3.617,0.024671053,0,0,0,0.972039473,0,0,0
78.4,7.417,0.013157895,0,0,0,0.986842105,0,0,0
75,-10.8,0.0195008105,0,0,0,0.9766381855,0,0,0
60.65,-7.433,0.06039489,0,0.009291521,0,0.911730546,0,0,0
14.933,-73.92,0.002398082,0,0.189448441,0.350119904,0.035971223,0.009592327,0,0
13.933,-72.37,0.006410256,0,0.416666667,0.467948717,0.096153846,0.006410256,0,0
17.033,-76.6,0.008064516,0,0.180107526,0.696236558,0.067204301,0.045698924,0,0
10.983,-81.15,0,0,0.218592966,0.314070352,0.037688443,0.007537689,0,0
