Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
17.2,-35.83,3,0,82,277,33,2,0,0
17.483,-40.67,3,0,75,298,36,18,0,2
41.517,-45.13,77,0,197,116,141.5,0,0,0
46,-45.05,204,0,28,12,152,1,0,0
62.667,-27.53,203,0,51,9,179,0,0,0
68.0333,0.0167,335,0,12,0,592,0,0,0
70.05,8.317,58,0,5,0,321,0,0,0
77.95,0.2,17,0,0,0,602,0,0,0
70.983,6.683,9,0,0,0,304,0,0,0
68.55,2.717,154,0,16,0,607,0,0,0
60.933,-17.57,32,0,441,2,641,0,0,0
54.25,-16.83,90,0,124,7,218,0,0,0
52.583,-21.93,95,0,127.5,3,243.5,0,0,0
49.867,-24.25,89.5,0,129.5,4,166,0,0,0
46,-16.92,64,0,112.5,50,174.5,0,0,1
29.8,-15.1,7,0,58,278,56,7,0,0
12.25,-76.63,1,0,169,113,77,14,0,0
22.6,-72.6,2,0,54,304.5,20,10,0,0
26.783,-46.7,3,0,36,251,15,17,0,0
9.317,-43,2,0,50,184,10,1,0,0
17.033,-71.23,0,0,59,231,12,7,0,0
9.567,-18.18,65,0,156,236,129,3,0,0
6.267,-17.92,7,0,138,46,91,3,0,0
6.033,-18.25,4,0,83.5,195.5,38.5,0,0,0
5.833,-18.08,5,0,155,65,95,12,0,0
0.3,-14.8,0,0,130.666666666667,143.333333333333,23.3333333333333,1,0,0
42.267,-60.5,41.5,0,90,3,171.5,0,0,0
62.133,-14.2,124,0,97,4,821,0,0,0
56.067,-24.08,87,0,128,4,422,0,0,0
43.8,-14.68,1,0,78,36,95,1,0,0
42.7,-17.07,29.5,0,122,51,171,0,0,5
39.717,-20.15,37,0,102,145,105,0,0,7
39.617,-13.55,62,0,77,42,154,3,0,0
42.75,-43.23,75,0,93,52,164,0,0,0
44.167,-39.87,46,0,177,41,161,0,0,0
25.933,-26.58,0,0,80,162,71,2,0,1
50.1,-37.3,130,0,38,11,95,0,0,0
16.533,-28.85,10,0,107,244,53,4,0,0
54,-46.2,223.333333333333,0,29,6,134.333333333333,0,0,0
54.033,-46.87,226,0,19,1,173,0,0,0
54.467,-50.8,37.5,0,0,0,640.5,0,0,0
54.733,-53.12,1,0,0,0,261,0,0,0
1,1.983,6,0,195.5,99,21,5,0,0
3.05,-11.82,0,0,51,81,48,3,0,0
56.733,-54.7,4,0,0,0,390.5,0,0,0
1.05,-13.63,11,0,143,84,75,18,0,0
58.183,-44.62,54,0,1,1,387,0,0,0
60.7033,-37.275,169,0,32,0,207,0,0,0
61.367,-11.5,65,0,32,2,271.5,0,0,0
63.45,-6.133,64,0,103,10,260,0,0,0
65.017,-6.217,170,0,2,0,636,0,0,0
76.167,-5.4,1,0,0,0,660,0,0,0
73.533,2.667,9,0,0,0,634,0,0,0
78.833,4.633,6,0,0,0,643,0,0,0
76.467,6.917,6,0,0,0,548,0,0,0
78.117,3.617,15,0,0,0,591,0,0,0
78.4,7.417,4,0,0,0,300,0,0,0
75,-10.8,6,0,0,0,369,0,0,0
