Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-obligate spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,undetermined non-spinose,symbiont-facultative spinose,undetermined spinose,SST
GeoB1031-4,epilog,0.28,-21.88,7.1017,152,83.0,0.0,40.0,4.0,126.0,1.0,0.0,,17.06071953746672
GeoB1031-4,epilog,0.33,-21.88,7.1017,233,125.0,0.0,46.0,6.0,114.0,3.0,0.0,,17.06071953746672
GeoB1032-3,epilog,0.38,-22.915,6.0367,186,69.0,0.0,35.0,7.0,113.0,4.0,0.0,,16.383212372340545
GeoB1032-3,epilog,0.43,-22.915,6.0367,256,82.0,0.0,84.0,9.0,129.0,5.0,0.0,,16.383212372340545
GeoB1034-3,epilog,0.23,-21.735,5.4217,280,149.0,0.0,112.0,5.0,216.0,8.0,0.0,,16.570721798663556
GeoB1041-3,epilog,0.53,-3.475,-7.6,103,101.0,0.0,92.0,0.0,249.0,6.0,0.0,,22.37991780801959
GeoB1041-3,epilog,0.58,-3.475,-7.6,82,49.0,0.0,59.0,0.0,182.0,2.0,0.0,,22.37991780801959
GeoB1101-5,epilog,0.33,1.6583,-10.98,115,19.0,0.0,169.0,0.0,311.0,13.0,0.0,,22.918470092759243
GeoB1101-5,epilog,0.38,1.6583,-10.98,68,13.0,0.0,115.0,0.0,336.0,18.0,0.0,,22.918470092759243
GeoB1105-4,epilog,0.78,-1.665,-12.4283,100,94.0,0.0,83.0,15.0,190.0,5.0,0.0,,22.015093174568445
GeoB1112-4,epilog,0.48,-5.7783,-10.75,111,87.0,0.0,170.0,5.0,185.0,21.0,0.0,,22.56813179975349
GeoB1112-4,epilog,0.58,-5.7783,-10.75,105,81.0,0.0,188.0,0.0,189.0,17.0,0.0,,22.56813179975349
GeoB1115-4,epilog,0.63,-3.5583,-12.58,102,126.0,0.0,168.0,8.0,264.0,14.0,0.0,,22.521630938450222
GeoB1115-4,epilog,0.68,-3.5583,-12.58,51,127.0,0.0,163.0,1.0,255.0,11.0,0.0,,22.521630938450222
GeoB1117-2,epilog,0.53,-3.815,-14.8967,87,31.0,0.0,157.0,4.0,92.0,13.0,0.0,,22.61533661058427
GeoB1117-2,epilog,0.58,-3.815,-14.8967,53,43.0,0.0,67.0,8.0,117.0,8.0,0.0,,22.61533661058427
GeoB1117-2,epilog,0.63,-3.815,-14.8967,164,58.0,0.0,92.0,7.0,253.0,11.0,0.0,,22.61533661058427
GeoB1214-1,epilog,0.23,-24.69,7.24,250,132.0,0.0,69.0,17.0,163.0,11.0,0.0,,15.828021714957327
GeoB1214-1,epilog,0.28,-24.69,7.24,290,155.0,0.0,63.0,15.0,146.0,9.0,0.0,,15.828021714957327
GeoB1220-1,epilog,0.33,-24.0333,5.3067,166,60.0,0.0,49.0,5.0,62.0,3.0,2.0,,15.665147126265708
GeoB1220-1,epilog,0.38,-24.0333,5.3067,163,72.0,0.0,51.0,16.0,81.0,5.0,0.0,,15.665147126265708
GeoB1306-1,epilog,0.19,-35.2067,-26.765,478,102.0,0.0,35.0,0.0,103.0,2.0,0.0,,14.866317720611026
GeoB1413-4,epilog,0.19,-15.68,-9.455,99,64.0,0.0,233.0,23.0,176.0,12.0,0.0,,19.059021531496313
GeoB1413-4,epilog,0.23,-15.68,-9.455,92,50.0,0.0,172.0,18.0,119.0,13.0,0.0,,19.059021531496313
GeoB1417-1,epilog,0.33,-20.3667,-12.7067,113,131.0,0.0,240.0,55.0,121.0,23.0,0.0,,18.15117440949485
GeoB1417-1,epilog,0.38,-20.3667,-12.7067,79,125.0,0.0,276.0,45.0,158.0,17.0,2.0,,18.15117440949485
GeoB1419-2,epilog,0.23,-15.5367,-17.0683,33,89.0,0.0,334.0,48.0,95.0,10.0,0.0,,20.078614912666268
GeoB1501-4,epilog,0.33,-3.6783,-32.0067,109,8.0,0.0,308.0,0.0,89.0,23.0,0.0,,23.280441869798466
GeoB1501-4,epilog,0.38,-3.6783,-32.0067,102,12.0,0.0,435.0,0.0,104.0,17.0,1.0,,23.280441869798466
GeoB1503-1,epilog,0.28,2.3117,-30.6467,131,42.0,0.0,282.0,37.0,250.0,8.0,0.0,,23.56588871871938
GeoB1503-1,epilog,0.33,2.3117,-30.6467,143,60.0,0.0,273.0,38.0,209.0,8.0,0.0,,23.56588871871938
GeoB1505-1,epilog,0.48,2.27,-33.01,171,37.0,0.0,429.0,12.0,231.0,11.0,0.0,,23.418596943535185
GeoB1505-1,epilog,0.53,2.27,-33.01,139,20.0,0.0,365.0,1.0,168.0,10.0,0.0,,23.418596943535185
GeoB1508-4,epilog,0.28,5.3333,-34.025,49,1.0,0.0,378.0,10.0,97.0,29.0,0.0,,23.34609001890322
GeoB1515-1,epilog,0.48,4.2383,-43.6667,65,6.0,0.0,352.0,8.0,91.0,10.0,0.0,,23.15670367602599
GeoB1701-4,epilog,0.98,1.95,3.5517,67,19.0,0.0,210.0,5.0,311.0,25.0,1.0,,23.019176373555798
GeoB1701-4,epilog,1.03,1.95,3.5517,59,30.0,0.0,367.0,20.0,390.0,27.0,0.0,,23.019176373555798
GeoB1701-4,epilog,1.08,1.95,3.5517,50,32.0,0.0,272.0,13.0,318.0,25.0,0.0,,23.019176373555798
GeoB1701-4,epilog,1.13,1.95,3.5517,122,12.0,0.0,217.0,18.0,267.0,24.0,0.0,,23.019176373555798
GeoB1701-4,epilog,1.18,1.95,3.5517,99,18.0,0.0,116.0,3.0,155.0,14.0,0.0,,23.019176373555798
GeoB1722-1,epilog,0.23,-29.45,11.75,262,67.0,0.0,24.0,6.0,177.0,5.0,0.0,,15.120078143190078
GeoB1722-1,epilog,0.28,-29.45,11.75,393,64.0,0.0,38.0,3.0,96.0,1.0,0.0,,15.120078143190078
GeoB1903-3,epilog,0.48,-8.675,-11.845,64,28.0,0.0,252.0,27.0,218.0,25.0,1.0,,22.053762060979235
GeoB1903-3,epilog,0.53,-8.675,-11.845,158,41.0,0.0,294.0,17.0,243.0,33.0,1.0,,22.053762060979235
GeoB1903-3,epilog,0.58,-8.675,-11.845,222,51.0,0.0,470.0,72.0,262.0,33.0,1.0,,22.053762060979235
GeoB1905-3,epilog,0.38,-17.1433,-13.9867,74,77.0,0.0,355.0,76.0,202.0,26.0,1.0,,18.820446933442533
GeoB1905-3,epilog,0.43,-17.1433,-13.9867,77,41.0,0.0,610.0,151.0,139.0,27.0,3.0,,18.820446933442533
GeoB2004-2,epilog,0.68,-30.87,14.3433,518,107.0,0.0,33.0,1.0,131.0,17.0,3.0,,15.13856290900382
GeoB2004-2,epilog,0.73,-30.87,14.3433,436,97.0,0.0,30.0,4.0,95.0,10.0,0.0,,15.13856290900382
GeoB2004-2,epilog,0.78,-30.87,14.3433,712,120.0,0.0,29.0,10.0,102.0,3.0,1.0,,15.13856290900382
GeoB2016-1,epilog,0.18,-31.9,-1.33,233,227.0,0.0,71.0,7.0,124.0,15.0,0.0,,15.54565585249922
GeoB2019-1,epilog,0.33,-36.06,-8.7783,279,269.0,0.0,11.0,2.0,147.0,2.0,0.0,,13.341688576980541
GeoB2021-5,epilog,0.13,-36.8333,-14.4033,273,230.0,0.0,8.0,0.0,175.0,0.0,0.0,,13.384368305272721
