Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
-42.98,-20.86,0.664,0.058,0.0,0.278,0.0,0.0,0.0,0.0,9.463953723787478
15.033,66.097,0.129416943521595,0.0477558139534884,0.0098222591362126,0.316335548172758,0.4283853820598,0.0034999999999999,0.0,0.0,23.770344438911305
-31.5,32.607,0.155,0.078,0.02,0.438,0.311,0.0,0.0,0.0,21.215683551342604
-32.11,36.01,0.195,0.138,0.01,0.362,0.294,0.0,0.0,0.0,18.351624690247974
-13.22,65.617,0.285,0.037,0.037,0.138,0.497,0.004,0.0,0.0,22.976824996100078
0.563,-13.65,0.22,0.042,0.005,0.515,0.22,0.0,0.0,0.0,22.29396590515686
-5.038,-10.19,0.0886666666666667,0.120666666666667,0.002,0.451666666666667,0.258666666666667,0.0,0.0,0.0,22.56813179975349
-5.412,-0.363,0.119,0.03,0.003,0.356,0.493,0.0,0.0,0.0,22.408188758936934
-1.342,-11.92,0.227,0.089,0.0,0.606,0.078,0.0,0.0,0.0,21.96728235194506
56.983,-12.467,0.947,0.053,0.0,0.0,0.0,0.0,0.0,0.0,7.7281371642722485
42.383,-21.967,0.379,0.297,0.0,0.273,0.05,0.0,0.0,0.0,12.65345506856482
46.917,-18.583,0.983,0.018,0.0,0.0,0.0,0.0,0.0,0.0,9.072128467428257
25.867,-19.05,0.437,0.191,0.008,0.256,0.105,0.0,0.0,0.0,16.635859420973706
19.6,-19.1,0.296,0.417,0.012,0.208,0.067,0.0,0.0,0.0,19.764250647545023
31.833,-18.267,0.194,0.242,0.0,0.315,0.25,0.0,0.0,0.0,15.955185747697191
35.05,-11.62,0.379,0.162,0.019,0.162,0.28,0.0,0.0,0.0,14.869844981022874
37.233,-33.13,0.372,0.243,0.023,0.191,0.168,0.0,0.0,0.0,16.1546788231473
8.65,58.567,0.878,0.198,0.05,0.394,0.482,0.0,0.0,0.0,23.57993087092135
10.25,57.183,0.27,0.106,0.021,0.44,0.163,0.0,0.0,0.0,22.782960725835693
-29.63,32.867,0.178,0.03,0.031,0.402,0.357,0.0,0.0,0.0,
-28.43,43.783,0.307,0.095,0.085,0.183,0.332,0.0,0.0,0.0,20.554142310593747
-33.17,-49.78,0.239,0.074,0.007,0.35,0.33,0.0,0.0,0.0,18.705502106977654
