Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
BS79-33,margo,3.6,38.157,14.018,0.330578512396694,0.242424242424242,0,0.203856749311295,0.223140495867769,0,0,0
BS79-33,margo,3.65,38.157,14.018,0.320474777448071,0.293768545994065,0,0.186943620178042,0.198813056379822,0,0,0
BS79-33,margo,3.7,38.157,14.018,0.333333333333333,0.289473684210526,0,0.157894736842105,0.219298245614035,0,0,0
BS79-33,margo,3.75,38.157,14.018,0.34402332361516,0.26530612244898,0,0.224489795918367,0.166180758017493,0,0,0
BS79-33,margo,3.8,38.157,14.018,0.322259136212625,0.269102990033223,0,0.215946843853821,0.192691029900332,0,0,0
BS79-33,margo,3.85,38.157,14.018,0.275964391691395,0.329376854599407,0,0.267062314540059,0.13353115727003,0,0,0
BS79-37,margo,2.4,38.215,13.269,0.394904458598726,0.356687898089172,0.00424628450106157,0.152866242038217,0.0912951167728238,0,0,0
BS79-37,margo,2.44,38.215,13.269,0.295285359801489,0.28287841191067,0,0.315136476426799,0.106699751861042,0,0,0
BS79-37,margo,2.48,38.215,13.269,0.299019607843137,0.308823529411765,0,0.325980392156863,0.0661764705882353,0,0,0
BS79-38,margo,3.975,38.247,13.346,0.179166666666667,0.375,0,0.329166666666667,0.116666666666667,0,0,0
BS79-38,margo,4.025,38.247,13.346,0.227467811158798,0.356223175965665,0.00429184549356223,0.309012875536481,0.103004291845494,0,0,0
BS79-38,margo,4.05,38.247,13.346,0.228070175438597,0.357894736842105,0,0.333333333333333,0.0807017543859649,0,0,0
BS79-38,margo,4.075,38.247,13.346,0.229357798165138,0.334862385321101,0,0.344036697247706,0.091743119266055,0,0,0
BS79-38,margo,4.125,38.247,13.346,0.232067510548523,0.316455696202532,0,0.333333333333333,0.118143459915612,0,0,0
BS79-38,margo,4.175,38.247,13.346,0.167364016736402,0.343096234309623,0.00836820083682008,0.418410041841004,0.0627615062761506,0,0,0
BS79-38,margo,4.2,38.247,13.346,0.211267605633803,0.366197183098592,0,0.197183098591549,0.225352112676056,0,0,0
BS79-38,margo,4.225,38.247,13.346,0.0898203592814371,0.425149700598802,0.0029940119760479,0.305389221556886,0.176646706586826,0,0,0
BS79-38,margo,4.275,38.247,13.346,0.157894736842105,0.37246963562753,0,0.352226720647773,0.117408906882591,0,0,0
BS79-38,margo,4.325,38.247,13.346,0.15884476534296,0.40072202166065,0,0.328519855595668,0.111913357400722,0,0,0
BS79-38,margo,4.35,38.247,13.346,0.149006622516556,0.384105960264901,0,0.347682119205298,0.119205298013245,0,0,0
BS79-38,margo,4.375,38.247,13.346,0.160583941605839,0.364963503649635,0,0.31021897810219,0.164233576642336,0,0,0
BS79-38,margo,4.4,38.247,13.346,0.45514950166113,0.259136212624585,0,0.142857142857143,0.142857142857143,0,0,0
BS79-38,margo,4.425,38.247,13.346,0.25668449197861,0.368983957219251,0,0.197860962566845,0.176470588235294,0,0,0
BS79-38,margo,4.45,38.247,13.346,0.377308707124011,0.327176781002638,0.00263852242744063,0.158311345646438,0.134564643799472,0,0,0
BS79-38,margo,4.475,38.247,13.346,0.261194029850746,0.373134328358209,0.00373134328358209,0.220149253731343,0.141791044776119,0,0,0
BS79-38,margo,4.525,38.247,13.346,0.233463035019455,0.420233463035019,0,0.229571984435798,0.116731517509728,0,0,0
BS79-38,margo,4.55,38.247,13.346,0.245862884160756,0.451536643026005,0,0.219858156028369,0.08274231678487,0,0,0
BS79-38,margo,4.575,38.247,13.346,0.209401709401709,0.405982905982906,0,0.264957264957265,0.11965811965812,0,0,0
BS79-38,margo,4.6,38.247,13.346,0.363636363636364,0.336363636363636,0,0.195454545454545,0.104545454545455,0,0,0
BS79-38,margo,4.625,38.247,13.346,0.172284644194757,0.445692883895131,0.00749063670411985,0.250936329588015,0.123595505617978,0,0,0
BS79-38,margo,4.65,38.247,13.346,0.193846153846154,0.476923076923077,0,0.252307692307692,0.0769230769230769,0,0,0
BS79-38,margo,4.675,38.247,13.346,0.167910447761194,0.485074626865672,0,0.253731343283582,0.0932835820895522,0,0,0
BS79-38,margo,4.7,38.247,13.346,0.174721189591078,0.371747211895911,0,0.260223048327138,0.193308550185874,0,0,0
CH82-24,margo,0.68,43.465,-30.66,0.169,0.541,0,0.097,0.048,0,0,0.145
CHAT 1K,margo,40,-41.58333333,-171.5,0.04234527687,0.1726384365,0,0.4071661238,0.03583061889,0,0,
CHAT 1K,margo,50,-41.58333333,-171.5,0.04627249357,0.21593830334,0,0.30591259641,0.0411311054,0,0,
DED8707,margo,1.095,39.41,13.34,0.272727272727273,0.417112299465241,0,0.181818181818182,0.128342245989305,0,0,0
DED8707,margo,1.215,39.41,13.34,0.310679611650486,0.446601941747573,0,0.15210355987055,0.0906148867313916,0,0,0
DGKS9603,margo,169,28.148,127.271,0.02701398939,0.06271104679,0.0328027014,0.31934394594,0.12590448625,0,0,
DGKS9603,margo,171,28.148,127.271,0.02620087336,0.06695778749,0.03250849102,0.31683648713,0.13294517225,0,0,
DGKS9603,margo,173,28.148,127.271,0.02594906295,0.0682364248,0.03652090341,0.32484382504,0.12397885632,0,0,
DGKS9603,margo,175,28.148,127.271,0.01723113488,0.13963161022,0.09447415329,0.28045157459,0.10249554367,0,0,
DGKS9603,margo,177,28.148,127.271,0.01912731619,0.1416616856,0.09892408846,0.28989838612,0.09982068141,0,0,
DGKS9603,margo,180,28.148,127.271,0.01864101022,0.13650030066,0.09079975947,0.30006013233,0.09440769694,0,0,
DGKS9603,margo,182,28.148,127.271,0.0176586004,0.12426422499,0.08502289077,0.31393067362,0.0961412688,0,0,
DGKS9603,margo,184,28.148,127.271,0.0190288714,0.12335958005,0.08234908137,0.31102362205,0.09908136482,0,0,
DGKS9603,margo,186,28.148,127.271,0.01827676241,0.12075718015,0.08485639687,0.31266318541,0.10150130549,0,0,
DGKS9603,margo,188,28.148,127.271,0.02118491921,0.12423698385,0.07612208259,0.29084380606,0.11346499102,0,0,
DGKS9603,margo,191,28.148,127.271,0.02440828402,0.12573964497,0.08357988166,0.29142011838,0.10909763314,0,0,
DGKS9603,margo,193,28.148,127.271,0.01990757198,0.13082118734,0.08674013509,0.29434767156,0.10522573766,0,0,
DGKS9603,margo,195,28.148,127.271,0.02298050139,0.12883008357,0.08774373259,0.28969359336,0.10027855153,0,0,
DGKS9603,margo,197,28.148,127.271,0.02295746117,0.13099257259,0.08912896691,0.29439567863,0.10195813639,0,0,
DGKS9603,margo,199,28.148,127.271,0.02265372168,0.11812297734,0.08414239482,0.30177993524,0.09951456311,0,0,
DGKS9603,margo,201,28.148,127.271,0.02080879466,0.12092658029,0.08480565371,0.29839026311,0.10600706714,0,0,
DGKS9603,margo,204,28.148,127.271,0.0206185567,0.12183692596,0.08528584817,0.29240862229,0.11433926898,0,0,
DGKS9603,margo,206,28.148,127.271,0.02362562472,0.10904134485,0.05724670604,0.30940481599,0.11903680146,0,0,
DGKS9603,margo,208,28.148,127.271,0.02692834322,0.11684162483,0.061159288,0.30579643995,0.12551346417,0,0,
DGKS9603,margo,210,28.148,127.271,0.01208702659,0.14746172441,0.06526994359,0.25946817079,0.15390813859,0,0,
DGKS9603,margo,212,28.148,127.271,0.01561144839,0.15611448395,0.04249783174,0.28274067646,0.13486556809,0,0,
DGKS9603,margo,215,28.148,127.271,0.01700680272,0.14880952381,0.04336734694,0.29251700684,0.12159863945,0,0,
DSDP site 588,margo,0.42,-26.11,161.2266667,0.1125,0.1457,0.043,0.2748,0.3807,0,0,0
DSDP site 591,margo,0.4,-31.58433333,164.4486667,0.04458474576,0.2707,0.0064,0.3184,0.1751,0,0,0
DSDP site 592,margo,0.31,-36.47333333,165.4421667,0.1561057971,0.2943,0,0.3182,0.027,0,0,0
DSDP site 593,margo,0.38,-40.5078,167.6745,0.155,0.4425,0,0.24,0.0025,0.005,0,0
DSDP site 594,margo,2.52,-45.5235,174.948,0.909926470588235,0.0128676470588235,0,0.03125,0,0,0,0
E26-001,margo,0.61,-40.28333333,168.34,0.188679245283019,0.446540880503145,0,0.216981132075472,0.00943396226415094,0,0,0
E27-030,margo,0.6,-45.0667,147.2283,0.189873417721519,0.433544303797468,0,0.224683544303797,0.0158227848101266,0,0,0
E36-023,margo,0.19,-43.9167,150.0505556,0.05181168,0.607,0,0.1789,0.0064,0,0,0
E45-027,margo,0.3,-43.23333333,105.5833333,0.213333333333333,0.566666666666667,0,0.163333333333333,0,0,0,0
E45-029,margo,0.39,-44.88333333,106.5166667,0.332,0.493,0,0.153,0,0,0,0
E45-078,margo,0.31,-45.037,114.348,0.163333333333333,0.573333333333333,0,0.21,0.00333333333333333,0,0,0.00333333333333333
E45-102,margo,0.24,-33.61666667,113.5833333,0.071875,0.115625,0.0125,0.61875,0.11875,0,0,0
E48-003,margo,0.22,-41.02,100.0116667,0.156,0.618,0,0.169,0,0,0,0
E48-011,margo,0.22,-29.7,97.58333333,0.079734219269103,0.0897009966777409,0,0.478405315614618,0.215946843853821,0,0,0.00332225913621262
E48-022,margo,0.82,-39.895,85.41,0.166,0.507,0,0.129,0.004,0,0,0
E48-023,margo,0.55,-39.515,83.72333333,0.18,0.418,0,0.13,0.063,0,0,0
E48-027,margo,0.62,-38.54166667,79.89833333,0.125,0.501,0.003,0.154,0.009,0,0,0
E48-028,margo,0.73,-38.54833333,79.91833333,0.137,0.403,0.006,0.178,0.024,0,0,0
E48-035,margo,0.355,-30.35333333,86.485,0.238709677419355,0.161290322580645,0,0.309677419354839,0.290322580645161,0,0,0
E49-018,margo,0.5,-46.05,90.16666667,0.597,0.238,0,0.134,0.006,0,0,0
E49-021,margo,0.49,-42.18333333,94.88333333,0.18,0.578,0,0.175,0.009,0,0,0
E49-023,margo,0.59,-47.11666667,95.08333333,0.848,0.1,0,0.049,0,0,0,0
E55-006,margo,0.4,-38.8533,141.0633,0.151515151515152,0.403030303030303,0.0545454545454545,0.293939393939394,0.00606060606060606,0,0,0
FR1/94-GC03,margo,0.3,-44.2606,149.9963889,0.137404580152672,0.511450381679389,0,0.134860050890585,0.0101781170483461,0,0,0
FR10/95-GC05,margo,0.67,-14.00916667,121.0263333,0.04787,0.032,0.0777,0.4464,0.36207,0,0,0
FR10/95-GC11,margo,0.29,-17.64283333,114.9988333,0.0298,0.0532,0.0797,0.3954,0.3986,0.0033,0,0
FR10/95-GC14,margo,0.39,-20.04516667,112.6621667,0.0264,0.245,0.0364,0.3907,0.2914,0,0,0
FR10/95-GC17,margo,1.43,-22.129,113.5018333,0.006,0.143,0.055,0.561,0.22,0,0,0.003
FR10/95-GC20,margo,0.64,-24.7445,111.8291667,0.006,0.119,0.053,0.56,0.262,0,0,0
FR10/95-GC29,margo,0.91,-30.99183333,114.5895,0.068,0.129,0.016,0.576,0.201,0,0,0.003
FR2/96-GC10,margo,0.26,-24.46416667,108.5101667,0.038,0.095,0.044,0.507,0.311,0,0,0.003
FR2/96-GC17,margo,0.43,-12.24666667,112.7378333,0.0484,0.0849,0.009,0.4505,0.3164,0,0,0
FR2/96-GC27,margo,1.29,-18.56183333,116.2668333,0.0231,0.0463,0.0832,0.2549,0.5692,0.0033,0,0
GIK12309-2,margo,1.62,26.8383,-15.11,0.333,0.318,0.003,0.286,0.037,0,0.001,0
GIK12309-2,margo,1.73,26.8383,-15.11,0.275,0.409,0,0.233,0.065,0,0.001,0
GIK12309-2,margo,1.82,26.8383,-15.11,0.332,0.352,0,0.247,0.059,0,0,0
GIK12310-4,margo,1.11,23.4983,-18.7167,0.409,0.354,0.002,0.2,0.036,0,0,0
GIK12310-4,margo,1.22,23.4983,-18.7167,0.416,0.304,0,0.241,0.04,0,0,0
GIK12328-5,margo,1.8,21.145,-18.5733,0.265,0.446,0,0.237,0.044,0,0.001,0
GIK12328-5,margo,1.9,21.145,-18.5733,0.204,0.412,0.003,0.353,0.023,0,0,0
GIK12328-5,margo,2,21.145,-18.5733,0.248,0.312,0.002,0.361,0.068,0,0.002,0
GIK12328-5,margo,2.1,21.145,-18.5733,0.267,0.335,0,0.383,0.01,0,0.002,0
GIK12329-6,margo,0.49,19.3667,-19.93,0.329,0.257,0.002,0.328,0.082,0,0,0
GIK12337-5,margo,1.6,15.9533,-18.1333,0.17,0.451,0.006,0.215,0.155,0,0,0
GIK12345-5,margo,4.3,15.48,-17.36,0.309,0.2,0.014,0.332,0.146,0,0,0
GIK12345-5,margo,4.4,15.48,-17.36,0.301,0.22,0.017,0.289,0.171,0,0,0
GIK12345-5,margo,4.5,15.48,-17.36,0.232,0.223,0.017,0.366,0.162,0,0,0
GIK12345-5,margo,4.6,15.48,-17.36,0.203,0.25,0.009,0.408,0.13,0,0,0
GIK12345-5,margo,4.7,15.48,-17.36,0.155,0.312,0.007,0.392,0.133,0,0,0
GIK12345-5,margo,4.8,15.48,-17.36,0.11,0.33,0.011,0.355,0.194,0,0,0
GIK12345-5,margo,4.9,15.48,-17.36,0.135,0.404,0.011,0.274,0.175,0,0,0
GIK12347-2,margo,3,15.825,-17.8617,0.361,0.233,0.009,0.261,0.136,0,0,0
GIK12347-2,margo,3.1,15.825,-17.8617,0.352,0.234,0.01,0.299,0.103,0,0,0
GIK12347-2,margo,3.2,15.825,-17.8617,0.395,0.196,0.006,0.305,0.096,0,0,0
GIK12379-1,margo,2.33,23.135,-17.745,0.345,0.388,0.002,0.24,0.019,0,0,0
GIK12379-1,margo,2.42,23.135,-17.745,0.317,0.384,0.001,0.264,0.028,0,0,0
GIK12379-1,margo,2.52,23.135,-17.745,0.291,0.45,0.002,0.226,0.025,0,0,0
GIK12379-1,margo,2.63,23.135,-17.745,0.462,0.261,0.001,0.242,0.026,0,0,0
GIK12379-1,margo,2.73,23.135,-17.745,0.298,0.45,0.002,0.215,0.031,0,0,0
GIK12392-1,margo,1.12,25.1717,-16.845,0.386,0.417,0,0.173,0.019,0,0,0
GIK12392-1,margo,1.22,25.1717,-16.845,0.365,0.384,0.003,0.21,0.03,0,0,0.001
GIK12392-1,margo,1.32,25.1717,-16.845,0.312,0.498,0,0.156,0.025,0,0,0
GIK12392-1,margo,1.42,25.1717,-16.845,0.343,0.413,0.003,0.213,0.019,0,0,0
GIK13289-3,margo,1.1,18.0732,-18.0092,0.276,0.385,0.004,0.306,0.028,0,0,0
GIK13289-3,margo,1.2,18.0732,-18.0092,0.23,0.397,0,0.273,0.095,0,0,0
GIK13289-3,margo,1.3,18.0732,-18.0092,0.145,0.523,0.003,0.24,0.088,0,0,0
GIK13291-1,margo,1.2,18.1175,-18.075,0.311,0.306,0,0.299,0.05,0,0,0
GIK13291-1,margo,1.3,18.1175,-18.075,0.235,0.477,0,0.197,0.066,0,0,0
GIK13291-1,margo,1.38,18.1175,-18.075,0.153,0.4,0.006,0.316,0.081,0,0,0
GIK13291-1,margo,1.44,18.1175,-18.075,0.119,0.493,0.005,0.302,0.061,0,0,0
GIK13291-1,margo,1.5,18.1175,-18.075,0.121,0.482,0.008,0.365,0.016,0,0,0
GIK13291-1,margo,1.6,18.1175,-18.075,0.119,0.456,0,0.354,0.04,0,0,0
GIK13519-1,margo,0.27,5.67,-19.8517,0.11,0.106,0.02,0.158,0.606,0,0,0
GIK13519-1,margo,0.3,5.67,-19.8517,0.122,0.102,0.027,0.197,0.552,0,0,0
GIK13519-1,margo,0.35,5.67,-19.8517,0.06,0.058,0.008,0.225,0.649,0,0,0
GIK13521-1,margo,0.36,3.02,-22.0317,0.17,0.026,0.005,0.338,0.458,0,0,0
GIK13521-1,margo,0.39,3.02,-22.0317,0.312,0.041,0,0.465,0.169,0,0,0
GIK13521-1,margo,0.42,3.02,-22.0317,0.321,0.021,0,0.564,0.088,0,0,0
GIK15612-2,margo,0.53,44.36,-26.5433,0.705,0.258,0,0.032,0.006,0,0,0
GIK15612-2,margo,0.56,44.36,-26.5433,0.689,0.269,0,0.031,0.01,0,0,0
GIK15612-2,margo,0.6,44.36,-26.5433,0.675,0.255,0,0.066,0.004,0,0,0
GIK15612-2,margo,0.67,44.36,-26.5433,0.599,0.357,0,0.042,0.002,0,0,0
GIK15627-3,margo,0.2,29.1667,-12.0867,0.262,0.407,0.002,0.25,0.043,0,0,0
GIK15627-3,margo,0.23,29.1667,-12.0867,0.17,0.373,0.01,0.191,0.231,0,0,0.021
GIK15627-3,margo,0.24,29.1667,-12.0867,0.291,0.42,0.004,0.182,0.095,0,0,0
GIK15627-3,margo,0.3,29.1667,-12.0867,0.203,0.447,0.009,0.269,0.055,0,0,0
GIK15627-3,margo,0.34,29.1667,-12.0867,0.296,0.373,0,0.228,0.074,0,0,0
GIK15637-1,margo,0.51,27.005,-18.9867,0.286,0.204,0,0.31,0.192,0,0,0.003
GIK15637-1,margo,0.52,27.005,-18.9867,0.299,0.163,0.008,0.362,0.164,0,0,0
GIK15637-1,margo,0.54,27.005,-18.9867,0.241,0.133,0.009,0.404,0.201,0,0,0.004
GIK15637-1,margo,0.56,27.005,-18.9867,0.266,0.182,0,0.322,0.224,0,0,0
GIK15637-1,margo,0.57,27.005,-18.9867,0.282,0.151,0.006,0.359,0.203,0,0,0
GIK15669-1,margo,0.7,34.8917,-7.815,0.332,0.21,0.006,0.348,0.097,0,0,0
GIK15669-1,margo,0.75,34.8917,-7.815,0.205,0.276,0.006,0.366,0.136,0,0,0
GIK15669-1,margo,0.8,34.8917,-7.815,0.244,0.14,0,0.427,0.187,0,0,0
GIK15669-1,margo,0.85,34.8917,-7.815,0.196,0.185,0.01,0.362,0.227,0,0,0
GIK15669-1,margo,0.9,34.8917,-7.815,0.189,0.296,0.004,0.32,0.174,0,0,0
GIK16017-2,margo,2.45,21.245,-17.8033,0.237,0.452,0,0.267,0.044,0,0,0
GIK16017-2,margo,2.5,21.245,-17.8033,0.159,0.502,0,0.271,0.063,0,0,0
GIK16017-2,margo,2.55,21.245,-17.8033,0.321,0.409,0,0.235,0.034,0,0,0
GIK16017-2,margo,2.6,21.245,-17.8033,0.233,0.415,0.004,0.31,0.037,0,0,0
GIK16017-2,margo,2.65,21.245,-17.8033,0.213,0.469,0.003,0.26,0.055,0,0,0
GIK16017-2,margo,2.7,21.245,-17.8033,0.252,0.403,0,0.282,0.065,0,0,0
GIK16017-2,margo,2.75,21.245,-17.8033,0.21,0.446,0.003,0.275,0.066,0,0,0
GIK16396-1,margo,3.3,61.8722,-11.2423,0.982,0.017,0,0,0,0,0,0
GIK16396-1,margo,3.5,61.8722,-11.2423,0.965,0.035,0,0,0,0,0,0
GIK16396-1,margo,3.6,61.8722,-11.2423,0.988,0.013,0,0,0,0,0,0
GIK16396-1,margo,3.7,61.8722,-11.2423,0.991,0.009,0,0,0,0,0,0
GIK16396-1,margo,3.8,61.8722,-11.2423,0.995,0.002,0,0.003,0,0,0,0
GIK16396-1,margo,3.9,61.8722,-11.2423,0.992,0.007,0,0,0,0,0,0
GIK16396-1,margo,3.98,61.8722,-11.2423,0.992,0.007,0,0.001,0,0,0,0
GIK16396-1,margo,4.02,61.8722,-11.2423,0.974,0.026,0,0,0,0,0,0
GIK16396-1,margo,4.1,61.8722,-11.2423,0.978,0.022,0,0,0,0,0,0
GIK16396-1,margo,4.2,61.8722,-11.2423,,0.043,0,0,0,0,0,0
GIK16396-1,margo,4.3,61.8722,-11.2423,0.965,0.036,0,0,0,0,0,0
GIK16396-1,margo,4.4,61.8722,-11.2423,0.978,0.021,0,0,0,0,0,0
GIK16396-1,margo,4.5,61.8722,-11.2423,0.985,0.015,0,0,0,0,0,0
GIK16396-1,margo,4.6,61.8722,-11.2423,0.991,0.009,0,0,0,0,0,0
GIK16396-1,margo,4.7,61.8722,-11.2423,0.997,0.004,0,0,0,0,0,0
GIK16396-1,margo,4.8,61.8722,-11.2423,0.994,0.004,0,0,0,0,0,0
GIK16396-1,margo,4.9,61.8722,-11.2423,0.993,0.008,0,0,0,0,0,0
GIK16396-1,margo,4.98,61.8722,-11.2423,0.987,0.011,0,0.003,0,0,0,0
GIK16396-1,margo,5.02,61.8722,-11.2423,0.997,0.003,0,0,0,0,0,0
GIK16396-1,margo,5.1,61.8722,-11.2423,0.992,0.008,0,0,0,0,0,0
GIK16396-1,margo,5.2,61.8722,-11.2423,0.987,0.013,0,0.001,0,0,0,0
GIK16396-1,margo,5.3,61.8722,-11.2423,0.979,0.029,0,0.001,0,0,0,0.001
GIK16396-1,margo,5.4,61.8722,-11.2423,0.969,0.03,0,0,0,0,0,0
GIK16397-2,margo,0.1,61.8725,-11.1787,0.98,0.014,0,0.006,0,0,0,0
GIK16397-2,margo,0.6,61.8725,-11.1787,0.985,0.015,0,0,0,0,0,0
GIK16397-2,margo,0.7,61.8725,-11.1787,0.983,0.017,0,0,0,0,0,0
GIK16397-2,margo,0.82,61.8725,-11.1787,0.983,0.017,0,0,0,0,0,0
GIK16397-2,margo,1.02,61.8725,-11.1787,0.976,0.02,0,0.003,0,0,0,0
GIK16397-2,margo,1.2,61.8725,-11.1787,0.974,0.023,0,0.003,0,0,0,0
GIK16397-2,margo,1.6,61.8725,-11.1787,0.969,0.027,0,0.005,0,0,0,0
GIK16415-2,margo,0.45,9.5667,-19.095,0.141,0.057,0,0.622,0.182,0,0,0
GIK16457-2,margo,0.3,5.385,-21.7517,0.103,0.06,0,0.24,0.592,0,0,0
GIK16458-1,margo,0.26,5.335,-22.0533,0.076,0.044,0.005,0.175,0.7,0,0,0
GIK16458-1,margo,0.28,5.335,-22.0533,0.068,0.05,0,0.167,0.716,0,0,0
GIK16458-1,margo,0.3,5.335,-22.0533,0.086,0.052,0,0.182,0.681,0,0,0
GIK16458-2,margo,0.29,5.335,-22.055,0.057,0.042,0.017,0.145,0.749,0,0,0
GIK16458-2,margo,0.32,5.335,-22.055,0.023,0.049,0.008,0.14,0.781,0,0,0
GIK16772-2,margo,0.3,-1.35,-11.9617,0.143,0.08,0.01,0.629,0.134,0,0,0
GIK16772-2,margo,0.4,-1.35,-11.9617,0.317,0.066,0.006,0.539,0.069,0,0,0
GIK16776-1,margo,0.25,3.735,-11.3983,0.009,0,0,0.678,0.312,0,0,0
GIK16776-1,margo,0.4,3.735,-11.3983,0.043,0.056,0,0.55,0.35,0,0,0
GIK16867-2,margo,0.55,-2.2017,5.1017,0.143,0.107,0.006,0.414,0.329,0,0,0
GIK16867-2,margo,0.65,-2.2017,5.1017,0.154,0.166,0,0.37,0.311,0,0,0
GIK17045-3,margo,0.95,52.425,-16.665,0.879,0.107,0,0.014,0,0,0,0
GIK17049-6,margo,1.6,55.26,-26.725,,0.037,0,0.003,0,0,0,0.001
GIK17050-1,margo,3.75,55.47,-27.8883,0.963,0.037,0,0,0,0,0,0
GIK17050-1,margo,3.85,55.47,-27.8883,0.9,0.093,0,0.004,0.003,0,0,0
GIK17050-1,margo,3.95,55.47,-27.8883,0.779,0.209,0,0.012,0,0,0,0.002
GIK17051-3,margo,2.1,56.1633,-31.99,0.938,0.049,0,0.014,0,0,0,0
GIK17055-1,margo,0.8,48.215,-27.0567,0.875,0.124,0,0,0,0,0,0
GIK17055-1,margo,0.85,48.215,-27.0567,0.785,0.215,0,0,0,0,0,0
GIK17724-2,margo,0.47,76,8.3333,0.998,0.001,0,0,0,0,0,0
GIK17724-2,margo,0.53,76,8.3333,0.999,0,0,0,0,0,0,0
GIK17724-2,margo,0.57,76,8.3333,0.998,0.002,0,0,0,0,0,0
GIK17724-2,margo,0.58,76,8.3333,1,0,0,0,0,0,0,0
GIK17724-2,margo,0.62,76,8.3333,1,0,0,0,0,0,0,0
GIK17725-1,margo,0.3,77.46,4.58,0.992,0,0,0.008,0,0,0,0
GIK17730-4,margo,1.4,72.1117,7.3883,0.995,0,0,0.004,0,0,0,0
GIK17730-4,margo,1.45,72.1117,7.3883,0.983,0.012,0,0.004,0,0,0.002,0
GIK17730-4,margo,1.47,72.1117,7.3883,0.998,0.003,0,0,0,0,0,0
GIK17730-4,margo,1.5,72.1117,7.3883,,0.025,0,0,0,0,0.006,0
GIK17730-4,margo,1.55,72.1117,7.3883,,0.019,0,0.013,0,0,0.002,0
GIK17730-4,margo,1.57,72.1117,7.3883,1,0,0,0,0,0,0.001,0
GIK17940-2,margo,875,20.11666667,117.3833333,0.024,0.165,0.031,0.412,0.087,0,0,
GIK17940-2,margo,885,20.11666667,117.3833333,0.022,0.156,0.035,0.433,0.079,0,0,
GIK17940-2,margo,895,20.11666667,117.3833333,0.02,0.143,0.02,0.427,0.089,0,0,
GIK17940-2,margo,905,20.11666667,117.3833333,0.02,0.149,0.019,0.423,0.092,0,0,
GIK17940-2,margo,915,20.11666667,117.3833333,0.021,0.15,0.023,0.338,0.1,0,0,
GIK17940-2,margo,925,20.11666667,117.3833333,0.024,0.124,0.011,0.401,0.096,0,0,
GIK17940-2,margo,935,20.11666667,117.3833333,0.025,0.164,0.017,0.408,0.103,0,0,
GIK17954,margo,102.5,14.79666667,111.525,0.038,0.104,0.01,0.259,0.138,0,0,
GIK17954,margo,112.5,14.79666667,111.525,0.026,0.082,0.025,0.248,0.149,0,0,
GIK17954,margo,122.5,14.79666667,111.525,0.034,0.079,0.027,0.21,0.221,0,0,
GIK23056-2,margo,0.3,68.5017,3.8383,0.949,0.043,0,0.005,0,0,0.002,0
GIK23056-2,margo,0.35,68.5017,3.8383,0.981,0.019,0,0,0,0,0,0
GIK23065-2,margo,0.3,68.495,0.8317,0.932,0.066,0,0.002,0,0,0,0
GIK23065-2,margo,0.32,68.495,0.8317,0.998,0.003,0,0,0,0,0,0
GIK23065-2,margo,0.34,68.495,0.8317,0.999,0,0,0.001,0,0,0,0
GIK23071-3,margo,1.17,67.085,2.9083,0.998,0,0,0.002,0,0,0,0
GIK23071-3,margo,1.18,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.2,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.28,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.29,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.3,67.085,2.9083,0.999,0,0,0,0,0,0,0
GIK23071-3,margo,1.32,67.085,2.9083,0.998,0,0,0.002,0,0,0,0
GIK23071-3,margo,1.34,67.085,2.9083,0.999,0,0,0.001,0,0,0,0
GIK23071-3,margo,1.36,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.38,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.41,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.43,67.085,2.9083,0.999,0,0,0.001,0,0,0,0
GIK23071-3,margo,1.45,67.085,2.9083,0.997,0,0,0.003,0,0,0,0
GIK23071-3,margo,1.47,67.085,2.9083,0.995,0,0,0.005,0,0,0,0
GIK23071-3,margo,1.49,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.53,67.085,2.9083,0.998,0.001,0,0.001,0,0,0,0
GIK23071-3,margo,1.55,67.085,2.9083,0.998,0.001,0,0.001,0,0,0,0
GIK23071-3,margo,1.57,67.085,2.9083,0.999,0,0,0.001,0,0,0,0
GIK23071-3,margo,1.59,67.085,2.9083,1,0,0,0,0,0,0,0
GIK23071-3,margo,1.61,67.085,2.9083,0.998,0.002,0,0,0,0,0,0
GIK23071-3,margo,1.62,67.085,2.9083,0.999,0.001,0,0,0,0,0,0
GIK23071-3,margo,1.64,67.085,2.9083,0.99,0.008,0,0.002,0,0,0,0
GIK23074-1,margo,2.06,66.6667,4.905,0.998,0.002,0,0,0,0,0,0
GIK23074-1,margo,2.1,66.6667,4.905,0.979,0.004,0,0.017,0,0,0,0
GIK23074-1,margo,2.22,66.6667,4.905,0.996,0.002,0,0.001,0,0,0,0
