Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
MD95-2040,margo,3.62,40.5818,-9.8612,0.385,0.254,0.003,0.246,0.095,0,0,0
MD95-2040,margo,3.65,40.5818,-9.8612,0.429,0.199,0,0.254,0.108,0,0,0
MD95-2040,margo,3.68,40.5818,-9.8612,0.426,0.213,0,0.238,0.114,0,0,0
MD95-2040,margo,3.71,40.5818,-9.8612,0.405,0.25,0,0.23,0.096,0,0,0
MD95-2040,margo,3.74,40.5818,-9.8612,0.427,0.216,0,0.237,0.109,0,0,0
MD95-2040,margo,3.77,40.5818,-9.8612,0.451,0.201,0.002,0.23,0.105,0,0,0
MD95-2040,margo,3.8,40.5818,-9.8612,0.399,0.254,0,0.21,0.119,0,0,0
MD95-2040,margo,3.83,40.5818,-9.8612,0.394,0.225,0,0.254,0.105,0,0,0
MD95-2040,margo,3.86,40.5818,-9.8612,0.427,0.273,0,0.22,0.077,0,0,0
MD95-2040,margo,3.89,40.5818,-9.8612,0.417,0.244,0,0.215,0.109,0,0,0
MD95-2040,margo,3.92,40.5818,-9.8612,0.445,0.207,0,0.234,0.109,0,0,0
MD95-2040,margo,3.95,40.5818,-9.8612,0.41,0.186,0.002,0.272,0.116,0,0,0
MD95-2040,margo,3.98,40.5818,-9.8612,0.384,0.227,0,0.232,0.143,0,0,0
MD95-2040,margo,4.01,40.5818,-9.8612,0.369,0.304,0,0.19,0.128,0,0,0
MD95-2040,margo,4.04,40.5818,-9.8612,0.493,0.207,0,0.214,0.078,0,0,0
MD95-2040,margo,4.07,40.5818,-9.8612,0.478,0.225,0,0.204,0.081,0,0,0
MD95-2040,margo,4.1,40.5818,-9.8612,0.441,0.275,0,0.192,0.077,0,0,0
MD95-2040,margo,4.13,40.5818,-9.8612,0.447,0.265,0,0.218,0.058,0,0,0
MD95-2040,margo,4.16,40.5818,-9.8612,0.491,0.25,0,0.18,0.065,0,0.002,0
MD95-2040,margo,4.19,40.5818,-9.8612,0.376,0.325,0,0.194,0.096,0,0,0
MD95-2040,margo,4.22,40.5818,-9.8612,0.439,0.275,0,0.162,0.117,0,0,0
MD95-2040,margo,4.25,40.5818,-9.8612,0.422,0.3,0.003,0.21,0.06,0,0,0
MD95-2040,margo,4.28,40.5818,-9.8612,0.473,0.251,0,0.173,0.09,0,0,0
MD95-2040,margo,4.31,40.5818,-9.8612,0.415,0.315,0,0.133,0.135,0,0,0.002
MD95-2040,margo,4.34,40.5818,-9.8612,0.47,0.218,0.001,0.283,0.028,0,0,0
MD95-2040,margo,4.37,40.5818,-9.8612,0.497,0.222,0,0.173,0.105,0,0,0
MD95-2040,margo,4.4,40.5818,-9.8612,0.529,0.228,0,0.178,0.065,0,0,0
MD95-2040,margo,4.43,40.5818,-9.8612,0.463,0.245,0.001,0.218,0.074,0,0,0
MD95-2040,margo,4.46,40.5818,-9.8612,0.504,0.24,0.001,0.191,0.061,0,0,0
MD95-2040,margo,4.49,40.5818,-9.8612,0.469,0.23,0,0.212,0.084,0,0,0
MD95-2040,margo,4.52,40.5818,-9.8612,0.586,0.223,0.001,0.144,0.042,0,0,0
MD95-2040,margo,4.55,40.5818,-9.8612,0.46,0.279,0.002,0.187,0.073,0,0,0
MD95-2040,margo,4.58,40.5818,-9.8612,0.484,0.223,0,0.179,0.108,0,0,0
MD972142,margo,2.775,12.69,119.47,0.00268817204,0.09677419355,0.05376344087,0.34408602155,0.29569892476,0.00537634409,0,
MD972142,margo,2.815,12.69,119.47,0.01724137931,0.09770114943,0.04310344828,0.36494252872,0.27011494249,0.00574712644,0,
MD972142,margo,2.895,12.69,119.47,0.00959232614,0.08393285372,0.03597122302,0.376498801,0.28297362115,0.00959232614,0,
MD972142,margo,2.975,12.69,119.47,0.03056027165,0.05432937182,0.05602716469,0.33955857388,0.3005093379,0.00679117148,0,
MD972142,margo,3.055,12.69,119.47,0.0390625,0.1328125,0.04166666667,0.3177083333,0.2291666667,0.00520833333,0,
MD972142,margo,3.135,12.69,119.47,0.04189944134,0.05027932961,0.03351955307,0.3240223464,0.32122905025,0.01396648045,0,
MD972148,margo,9.955,19.8,117.54,0,0.1169354839,0.02822580645,0.49193548388,0.16532258065,0.01209677419,0,
MD972148,margo,10.035,19.8,117.54,0,0.05072463768,0,0.59782608696,0.16304347825,0.00362318841,0,
MD972148,margo,10.115,19.8,117.54,0,0.05405405405,0.01801801802,0.60360360362,0.12162162162,0.0045045045,0,
MD972148,margo,10.195,19.8,117.54,0,0.05140186916,0.00934579439,0.67289719626,0.11682242991,0.0046728972,0,
MD972148,margo,10.275,19.8,117.54,0.01593625498,0.05179282869,0.03585657371,0.58167330681,0.2111553785,0,0,
MD972148,margo,10.435,19.8,117.54,0.01229508197,0.03278688525,0.00409836066,0.67213114752,0.11885245902,0,0,
MD972148,margo,10.515,19.8,117.54,0.00790513834,0.07114624506,0.04743083004,0.54150197629,0.13833992095,0,0,
MD972148,margo,10.595,19.8,117.54,0.00423728814,0.03813559322,0.02966101695,0.56779661021,0.16525423729,0.01271186441,0,
MD972148,margo,10.675,19.8,117.54,0.01382488479,0.0599078341,0.02764976958,0.64976958522,0.12903225806,0.00460829493,0,
MD972148,margo,10.755,19.8,117.54,0.01025641026,0.04615384615,0.04615384615,0.61025641026,0.11282051282,0.02051282051,0,
MD972148,margo,10.835,19.8,117.54,0.00660792952,0.06828193833,0.02422907489,0.64096916305,0.1013215859,0,0,
MD972148,margo,10.915,19.8,117.54,0.01547987616,0.04643962848,0.01238390092,0.61919504643,0.14241486068,0.00619195046,0,
MD972148,margo,11.075,19.8,117.54,0.01013513514,0.08445945946,0.01351351352,0.58108108108,0.14527027028,0.00675675676,0,
MD972148,margo,11.155,19.8,117.54,0.00684931507,0.10273972602,0.02397260274,0.53424657532,0.13698630137,0.01369863014,0,
MD972148,margo,11.235,19.8,117.54,0.01454545455,0.08363636364,0.02909090909,0.55636363638,0.15636363637,0.02545454545,0,
MD972148,margo,11.315,19.8,117.54,0,0.09375,0.01953125,0.546875,0.171875,0.0078125,0,
MD972148,margo,11.395,19.8,117.54,0.01454545455,0.07636363636,0.01090909091,0.57090909096,0.1854545455,0.00727272727,0,
MD972148,margo,11.475,19.8,117.54,0.01327433628,0.08407079646,0.0221238938,0.50442477875,0.23451327434,0.01327433628,0,
MD972148,margo,11.555,19.8,117.54,0.01872659176,0.0936329588,0.01123595506,0.59176029961,0.13857677902,0.01498127341,0,
MD972148,margo,11.635,19.8,117.54,0.00737100737,0.1253071253,0.01474201474,0.56756756757,0.13759213759,0.01228501229,0,
MD972148,margo,11.715,19.8,117.54,0.00917431193,0.08944954128,0.0114678899,0.59862385322,0.12844036696,0.02752293578,0,
MD972148,margo,11.795,19.8,117.54,0.02760736196,0.07055214724,0.02760736197,0.63190184057,0.08895705521,0.02760736196,0,
MD972148,margo,11.875,19.8,117.54,0.01672240803,0.09698996656,0.02006688964,0.6053511706,0.11705685619,0.01337792642,0,
MD972148,margo,11.955,19.8,117.54,0.00925925926,0.09953703704,0.02777777778,0.54398148149,0.14351851852,0.01388888889,0,
MD972148,margo,12.035,19.8,117.54,0.01428571428,0.10476190478,0.00714285714,0.60238095233,0.13333333335,0.0119047619,0,
MD972148,margo,12.115,19.8,117.54,0.00748129676,0.072319202,0.01246882794,0.59102244392,0.13216957605,0.01246882793,0,
MD972148,margo,12.195,19.8,117.54,0.00350877193,0.05614035088,0.00701754386,0.7473684211,0.10175438597,0,0,
MD972148,margo,12.275,19.8,117.54,0,0.07116104869,0.0074906367,0.65917602992,0.14232209737,0.01123595506,0,
MD972148,margo,12.355,19.8,117.54,0,0.1133603239,0.01619433198,0.58906882592,0.18825910931,0.00607287449,0,
MD972148,margo,12.435,19.8,117.54,0,0.08185840708,0.0221238938,0.61283185839,0.19247787609,0.00442477876,0,
MD972148,margo,12.515,19.8,117.54,0,0.0881147541,0.01844262295,0.62909836063,0.15983606557,0.00409836066,0,
MD972148,margo,12.595,19.8,117.54,0.00205761317,0.04732510288,0.02057613169,0.6851851852,0.12345679012,0.00205761317,0,
MD972148,margo,12.675,19.8,117.54,0.00531914894,0.08244680851,0.01861702127,0.54787234039,0.14361702128,0.01063829787,0,
MD972148,margo,12.755,19.8,117.54,0,0.06896551724,0.00766283525,0.67049808433,0.14176245211,0.00766283525,0,
MD972148,margo,12.835,19.8,117.54,0.0021691974,0.0737527115,0.02169197396,0.59436008675,0.15618221259,0.0021691974,0,
MD972148,margo,12.915,19.8,117.54,0,0.0618556701,0.02577319588,0.63917525771,0.13402061856,0.00515463918,0,
MD972151,margo,5.475,8.73,109.87,0.044304,0.044304,0.03481,0.462026,0.212026,0.015823,0,
MD972151,margo,5.555,8.73,109.87,0.043063,0.038278,0.00957,0.4689,0.23445,0.019139,0,
MD972151,margo,5.635,8.73,109.87,0.014836,0.071217,0.026706,0.48368,0.124629,0.008902,0,
MD972151,margo,5.715,8.73,109.87,0.044554,0.059406,0.019801,0.396039,0.21287,0.014851,0,
MD972151,margo,5.795,8.73,109.87,0.039841,0.039841,0.027888,0.422311,0.262948,0.015936,0,
MD972151,margo,5.875,8.73,109.87,0.035031,0.035032,0.022293,0.426751,0.200636,0.012739,0,
MD972151,margo,5.955,8.73,109.87,0.022727,0.037879,0.026515,0.431818,0.204545,0.037879,0,
MD972151,margo,6.035,8.73,109.87,0.018868,0.079245,0.033963,0.328303,0.233962,0.015094,0,
MD972151,margo,6.115,8.73,109.87,0.033419,0.059126,0.033419,0.419024,0.236503,0.010283,0,
MD972151,margo,6.195,8.73,109.87,0.020173,0.040346,0.028818,0.443804,0.216139,0.005764,0,
MD972151,margo,6.275,8.73,109.87,0.035911,0.055248,0.005525,0.43094,0.232044,0.013812,0,
MD972151,margo,6.355,8.73,109.87,0.008438,0.029536,0.021097,0.392405,0.240506,0.021097,0,
MD972151,margo,6.435,8.73,109.87,0.013668,0.034169,0.013667,0.414579,0.277903,0.01139,0,
MD972151,margo,6.515,8.73,109.87,0.005076,0.050761,0.020304,0.48731,0.177665,0.010152,0,
MD992344,margo,2.47,41.997,4.836,0.0364025695931478,0.903640256959315,0,0.0599571734475375,0,0,0,0
