Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
MD012416,margo,202.5,51.268,167.7255,327,60,0,0,1,,0,0
MD012416,margo,205.5,51.268,167.7255,309,41,0,0,0,,0,0
MD012416,margo,209.5,51.268,167.7255,270,55,0,0,2,,0,0
MD012416,margo,184.5,51.268,167.7255,255,50,0,0,0,,0,0
MD012416,margo,190.5,51.268,167.7255,307,54,0,0,0,,0,0
MD012416,margo,194.5,51.268,167.7255,326,64,0,0,2,,0,0
MD84-632,margo,1.58,32.47,34.23,249,19,0,9,35,0,621,0
MD84-632,margo,1.6,32.47,34.23,208,30,0,1,30,0,743,0
MD84-632,margo,1.62,32.47,34.23,192,18,0,3,30,0,806,0
MD84-632,margo,1.64,32.47,34.23,345,53,0,9,45,0,1228,0
MD84-632,margo,1.66,32.47,34.23,126,36,0,2,24,0,620,0
MD84-632,margo,1.68,32.47,34.23,246,35,0,5,35,0,684,0
MD84-632,margo,1.7,32.47,34.23,373,59,0,9,57,0,1160,0
MD84-632,margo,1.72,32.47,34.23,312,50,0,11,38,0,1053,0
MD84-632,margo,1.74,32.47,34.23,189,18,0,11,14,0,752,0
MD84-632,margo,1.76,32.47,34.23,150,14,0,11,18,0,545,0
MD84-632,margo,1.78,32.47,34.23,219,12,0,7,26,0,903,0
MD84-632,margo,1.8,32.47,34.23,239,9,0,9,34,0,805,0
MD84-632,margo,1.82,32.47,34.23,209,12,0,13,38,0,646,0
MD84-632,margo,1.84,32.47,34.23,219,16,0,15,37,0,493,0
MD84-632,margo,1.86,32.47,34.23,246,12,0,16,41,0,609,0
MD84-632,margo,1.88,32.47,34.23,219,10,0,8,35,0,613,0
MD84-632,margo,1.9,32.47,34.23,288,12,0,6,36,0,1022,0
MD84-632,margo,1.92,32.47,34.23,254,68,0,3,37,0,1026,0
MD84-632,margo,1.96,32.47,34.23,361,285,0,2,20,0,958,0
MD84627,margo,0.6,32.14,33.45,124,8,0,1,12,0,161,0
MD84627,margo,0.7,32.14,33.45,111,6,0,0,10,0,263,0
MD84627,margo,0.8,32.14,33.45,134,12,0,0,7,0,373,0
MD84629,margo,1.6,32.04,34.21,69,8,0,8,11,0,10,0
MD84629,margo,1.65,32.04,34.21,90,14,0,1,3,0,4,0
MD84629,margo,1.7,32.04,34.21,43,16,0,5,4,0,15,0
MD84629,margo,1.75,32.04,34.21,73,11,0,0,6,0,1,0
MD84629,margo,1.8,32.04,34.21,130,167,0,12,5,0,11,0
MD84629,margo,1.85,32.04,34.21,69,74,0,1,0,0,1,0
MD84629,margo,1.9,32.04,34.21,39,137,0,12,3,0,5,0
MD84629,margo,1.95,32.04,34.21,54,161,0,0,6,0,4,0
MD84629,margo,2,32.04,34.21,117,239,0,1,18,0,0,0
MD84641,margo,0.83,33.02,32.38,66,4,0,0,3,0,1,0
MD84641,margo,0.87,33.02,32.38,71,8,0,1,8,0,2,0
MD84641,margo,0.9,33.02,32.38,119,17,0,0,6,0,0,0
MD84641,margo,0.93,33.02,32.38,111,7,0,0,9,0,1,0
MD84641,margo,0.97,33.02,32.38,95,20,0,6,11,0,3,0
MD84641,margo,1,33.02,32.38,121,61,0,1,7,0,1,0
MD88-770,margo,1.12,-46.01666667,96.46666667,207,7,0,0,1,0,0,0
MD90-917,margo,5.45,41.298,17.613,281,74,0,1,42,0,21,0
MD90-917,margo,5.5,41.298,17.613,241,105,0,0,52,0,16,1
MD90-917,margo,5.55,41.298,17.613,186,152,0,0,18,0,32,0
MD90-917,margo,5.6,41.298,17.613,193,119,0,2,42,0,14,0
MD90-917,margo,5.65,41.298,17.613,170,89,0,1,44,0,14,0
MD90-917,margo,5.7,41.298,17.613,176,114,0,0,20,0,9,0
