Latitude,Longitude,O. universa,G. conglobatus,G. ruber ruber,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. adamsi,G. aequilateralis,G. calida,G. bulloides,G. falconensis,G. digitata,G. rubescens,T. humilis,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,T. truncatulinoides,G. crassaformis,G. hirsuta,G. scitula,D. anfracta,G. cultrata,G. tumida,C. nitida,G. glutinata,T. iota,G. uvula,B. pumilio,H. pelagica,H. digitata,G. menardii,G. truncatulinoides,G. theyeri,G. tenella,G. siphonifera,G. crassa,SST
14.0,-74.88,16.0,4.0,12.0,64.0,0.0,52.0,2.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,67.0,0.0,0.0,11.0,1.0,2,1.0,0.0,0.0,0.0,23.0,12.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.309064423313195
-43.78,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,0.0,3.0,92.0,2.0,0.0,0.0,0.0,0.0,24.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.915932373100004
-43.63,51.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,165.0,1.0,0.0,0.0,0.0,0.0,88.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.748908764040587
-55.33,65.467,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,319.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0921789754574516
-44.77,92.417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,141.0,2.0,1.0,0.0,0.0,11.0,73.0,23.0,6.0,0.0,0.0,0.0,58.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1024577190005385
-39.38,104.37,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,63.0,11.0,0.0,0.0,0.0,3.0,25.0,12.0,1.0,0.0,0.0,0.0,81.0,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.538692025375191
-36.75,120.9,0.0,0.0,0.0,15.0,1.0,2.0,0.0,0.0,1.0,0.0,32.0,10.0,2.0,4.0,0.0,7.0,19.0,35.0,14.0,0.0,0.0,0.0,34.0,10,0.0,0.0,12.0,0.0,1.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.266555057420712
-46.53,125.57,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,5.0,2.0,0.0,0.0,6.0,47.0,26.0,0.0,0.0,0.0,0.0,96.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881776873413944
-49.33,127.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,110.0,6.0,0.0,0.0,0.0,15.0,53.0,11.0,0.0,0.0,0.0,0.0,38.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8325601495288986
-51.08,129.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,2.0,0.0,0.0,0.0,8.0,139.0,0.0,2.0,0.0,0.0,0.0,26.0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5944253322242055
-47.77,123.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,0.0,0.0,0.0,0.0,81.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1170251113029535
-45.42,121.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,225.0,8.0,0.0,0.0,0.0,4.0,25.0,6.0,0.0,0.0,0.0,0.0,65.0,19,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.534708166444976
-41.37,114.13,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,80.0,14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.314676241138685
12.05,63.15,2.0,7.0,0.0,73.0,0.0,35.0,2.0,0.0,3.0,3.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,39.0,0.0,2,1.0,0.0,0.0,0.0,58.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44255565677399
17.883,58.083,1.0,0.0,0.0,19.0,4.0,1.0,0.0,0.0,6.0,3.0,109.0,26.0,1.0,8.0,0.0,4.0,3.0,2.0,8.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.700228822416253
44.2,-14.9,87.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,17.0,3.0,9.0,0.0,0.0,3.0,89.0,134.0,0.0,0.0,0.0,0.0,66.0,3,3.0,4.0,4.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.777766828191067
45.1,-10.57,59.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,25.0,2.0,4.0,0.0,0.0,0.0,47.0,89.0,0.0,0.0,0.0,0.0,62.0,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.181835851268287
54.983,-15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,3.0,0.0,0.0,0.0,21.0,48.0,84.0,1.0,0.0,0.0,0.0,21.0,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.477818671449683
10.183,-77.22,8.0,5.0,34.5,132.5,1.0,85.0,2.0,0.0,19.5,4.0,1.0,0.0,1.5,3.0,0.0,0.0,0.0,1.0,39.0,0.5,0.0,6.0,0.0,3,1.5,0.0,0.5,0.0,17.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.288731859769378
