Data_Source,Latitude,Longitude,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. scitula,G. glutinata,G. truncatulinoides,G. aequilateralis,G. menardii,H. pelagica,G. ruber ruber,G. tumida,G. digitata,T. humilis,C. nitida,G. uvula,D. anfracta,G. theyeri,T. iota,G. cavernula,G. cultrata,G. tenella,G. adamsi,G. crassa,SST
climap,10.13,95.03,0.003,0.018,0.294,0.036,0.047,0.0,0.016,0.086,0.094,0.01,0.003,0.01,0.0,0.0,0.0,0.156,0.01,0.013,0.075,0.0,0.003,0.003,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,24.983645501972305
climap,11.46,94.09,0.01,0.005,0.276,0.091,0.053,0.0,0.026,0.026,0.11,0.014,0.002,0.034,0.0,0.0,0.0,0.125,0.017,0.024,0.046,0.0,0.0,0.005,0.137,0.0,0.0,,,,,,,,,,,,,,,,,,24.887560406135943
climap,18.22,91.01,0.013,0.013,0.124,0.063,0.056,0.0,0.017,0.026,0.113,0.026,0.004,0.026,0.0,0.0,0.0,0.081,0.007,0.015,0.106,0.0,0.0,0.004,0.307,0.0,0.0,,,,,,,,,,,,,,,,,,24.8604498988119
climap,18.28,89.51,0.01,0.007,0.204,0.034,0.111,0.0,0.042,0.034,0.118,0.012,0.0,0.017,0.0,0.0,0.0,0.071,0.01,0.012,0.064,0.0,0.0,0.0,0.251,0.0,0.0,,,,,,,,,,,,,,,,,,24.79647972302127
climap,7.3,76.43,0.0,0.0,0.088,0.035,0.053,0.0,0.012,0.024,0.318,0.029,0.0,0.047,0.0,0.0,0.0,0.188,0.006,0.047,0.029,0.0,0.006,0.0,0.118,0.0,0.0,,,,,,,,,,,,,,,,,,
climap,10.467,75.233,0.0,0.003,0.231,0.052,0.058,0.003,0.017,0.049,0.277,0.003,0.0,0.04,0.0,0.0,0.0,0.107,0.006,0.032,0.012,0.0,0.0,0.006,0.104,0.0,0.0,,,,,,,,,,,,,,,,,,
climap,20.698,59.568,0.1,0.0,0.14,0.003,0.034,0.0,0.029,0.12,0.289,0.154,0.0,0.011,0.017,0.003,0.006,0.034,0.0,0.0,0.011,0.0,0.0,0.0,0.049,0.0,0.0,,,,,,,,,,,,,,,,,,
climap,33.583,-62.38,0.005,0.0,0.162,0.019,0.011,0.0,0.013,0.011,0.215,0.021,0.003,0.003,0.011,0.005,0.077,0.101,0.0,0.0,0.003,0.162,0.0,0.051,0.096,0.008,0.024,,,,,,,,,,,,,,,,,,19.679510872163142
climap,-24.07,-15.12,0.01,0.008,0.345,0.063,0.076,0.0,0.046,0.008,0.025,0.048,0.01,0.046,0.0,0.013,0.005,0.003,0.0,0.0,0.0,0.112,0.005,0.015,0.117,0.013,0.033,,,,,,,,,,,,,,,,,,18.68883665520075
climap,-42.88,42.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.073,0.595,0.086,0.03,0.0,0.0,0.0,0.017,0.0,0.007,0.037,0.0,0.01,,,,,,,,,,,,,,,,,,9.565031928352083
