Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Total Planktics,%(1) or Raw(2)
MD972148,Piston,19.8,117.54,2830,South China Sea,11.955,3.96,21.32016667,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.925925926,0,12.73148148,0.925925926,5.324074074,0,1.62037037,5.555555556,9.953703704,0.925925926,0,1.851851852,0,0,0,45.13888889,1.388888889,0,1.388888889,0,0,0,0.925925926,0,0,3.472222222,0,7.87037037,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.035,4.06,21.40961111,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.666666667,0,8.095238095,0,6.428571429,0,1.428571429,3.80952381,10.23809524,0,0.238095238,0.714285714,0,0,0,51.9047619,1.19047619,0,2.380952381,0.238095238,0,0,1.19047619,0,0.238095238,4.523809524,0,5.714285714,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.115,4.16,21.49905556,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.244389027,0.249376559,14.4638404,0.748129676,5.735660848,0.249376559,0.997506234,2.992518703,7.2319202,0.997506234,0,0.249376559,0,0,0,50.6234414,1.246882793,0,2.244389027,0.498753117,0,0.498753117,0.748129676,0,0,2.244389027,0,5.735660848,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.195,4.26,21.5885,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.052631579,0,7.719298246,0.350877193,4.561403509,0,0,4.561403509,5.614035088,0,0,0.350877193,0,0,0,57.54385965,0,0,3.859649123,3.157894737,0,0,0,0,0.350877193,0.701754386,0,10.1754386,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.275,4.36,21.67794444,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.370786517,0.74906367,10.86142322,0.74906367,4.494382022,0,1.123595506,3.745318352,7.116104869,0.74906367,0,0,0,0,0,43.44569288,1.123595506,0,3.745318352,10.11235955,0,0,0,0,0,0,0,8.61423221,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.355,4.46,21.76738889,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.036437247,0,8.502024291,0.809716599,8.097165992,0,2.226720648,4.858299595,11.33603239,0.607287449,0,0.809716599,0,0,0,40.28340081,0.607287449,0,3.238866397,8.906882591,0,0,0,0,0,0.20242915,0,6.477732794,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.435,4.56,21.85683333,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.548672566,0.221238938,8.185840708,1.548672566,5.973451327,0,1.327433628,8.628318584,8.185840708,1.548672566,0,0.663716814,0,0,0,40.7079646,0.442477876,0,2.433628319,8.185840708,0,0.221238938,0,0,0,0.221238938,0,9.955752212,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.515,4.66,21.94627778,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.614754098,0,9.426229508,1.229508197,5.532786885,0,2.459016393,7.172131148,8.606557377,0.204918033,0.204918033,0.614754098,0,0,0,46.51639344,0.409836066,0,2.254098361,4.713114754,0.204918033,0.204918033,0,0,0,0.204918033,0,9.426229508,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.595,4.76,22.08542857,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.234567901,0,11.72839506,1.440329218,2.263374486,0,1.234567901,7.407407407,4.526748971,0.205761317,0.205761317,0.617283951,0,0,0,46.50205761,0.205761317,0,1.440329218,8.436213992,0,0,0,0.205761317,0,0.205761317,0,12.1399177,100,1
MD972148,Piston,19.8,117.54,2830,South China Sea,12.675,4.86,22.27428571,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.723404255,0,14.62765957,1.063829787,5.85106383,0,1.595744681,3.191489362,7.978723404,0,0.265957447,0.79787234,0,0,0,38.03191489,1.063829787,0.265957447,2.393617021,9.574468085,0,0,0,0,0.265957447,4.521276596,0,4.787234043,100,1
