CoreID,Latitude,Longitude,Water Depth (m)
V18-357,15.03333,-80.23333,1818
V21-26,4.6,-82.73333,3081
V19-185,6.7,59.31667,2867
E49-17,-48.28333,90.25,3542
Y6-17,-16.86667,-74.33334,6485
V15-14,4.41667,-78.33334,3755
V12-52,-39.59333,-32.875,5015
V7-58,35.46667,-55.8,5442
AR3-19,7.85,-85.16667,2512
RC10-254,7.26667,-79.21667,3323
Y1-111,5.5,-81.21667,3768
V22-168,-17.46667,-5.16667,4625
E11-1,-54.90694,-114.7031,3477
V23-84,46.005,-16.91667,4513
V23-59,68.03333,0.01667,3083
RC10-97,0.91667,-134.31,4305
V14-5,0.85,-32.85,3255
RC17-108,-10.50806,57.72,4051
V21-248,32.65,-72.65,5309
RC14-8,-36.85,44.8,2736
V19-24,3.2,-80.11667,1712
V27-20,54.0,-46.2,3510
RC8-79,-46.31667,-172.85,4949
A157-3,50.91667,-41.75,4025
RC14-29,-10.92333,88.315,2869
V29-86,-49.56667,30.01667,5614
V18-24,2.41667,-35.83333,3684
V24-36,6.5,-85.21667,1878
V28-118,16.31667,-78.8,1348
E17-9,-63.08306,-135.1169,4851
V19-293,2.31667,-4.78333,4814
A180-69,5.26667,-17.075,5100
V19-292,2.15,-5.15,4896
V19-309,31.16667,-45.13334,4544
V21-215,4.4,-79.15,3418
V19-248,-24.56667,4.83333,3321
V22-92,-50.1,-42.91667,1686
RC11-81,-43.9,5.21667,4704
RC8-46,-55.33306,65.46694,2761
RC11-91,-56.56694,34.18306,5373
V29-203,60.80667,-22.44167,2085
V7-67,34.66667,-61.45833,4308
E49-10,-59.01305,110.1331,1306
AR3-26,8.06667,-84.96667,2545
V24-204,-36.81667,55.26667,4631
RC11-102,-43.7,58.8,4709
V10-58,35.67167,26.3,2283
V27-58,73.54,2.66333,2754
V14-104,13.43306,53.45,2670
V27-102,62.12833,-14.205,1641
V17-164,29.61667,-36.91667,4433
V18-183,-33.23306,15.98306,2807
RC17-61,-52.2,54.46667,3947
Y6-4,-14.61667,-79.11667,4423
RC11-134,-33.06667,110.55,2345
Y1-108,4.15,-85.01667,3390
V26-124,16.13333,-74.45,3005
RC9-49,-51.06667,81.55,3908
V18-14,13.46667,-55.96667,4907
A179-20,30.76667,-67.65,4993
RC17-101,-12.38306,61.61694,2665
K78-6,51.56,-29.56667,2469
RC8-60,-36.75,120.9,5351
V12-80,1.75667,-16.055,4918
Y1-84,-3.96667,-91.65,3748
V27-263,35.0,-40.91667,3704
D3-126,44.46667,-24.31667,2979
V21-223,16.1,-76.33334,2087
E45-74,-47.55,114.1167,5124
V28-30,71.15,1.61667,2915
E45-64,-52.48306,114.09,3825
V19-298,3.65,-15.05,4792
RC11-146,-21.41694,112.8,2371
Y7-45,-11.07833,-111.0167,3096
V28-127,11.65,-80.13333,3237
RC13-269,-52.62667,0.125,2591
V28-126,10.98333,-81.15,3162
RC12-266,-39.81694,-24.8,3939
V29-198,58.725,-15.56333,1139
RC11-230,-8.8,-110.8,3259
RC12-292,-39.68306,-15.48306,3541
RC11-98,-47.65,61.46667,4292
RC11-88,-41.16667,20.11667,5125
V27-76,76.41667,10.8,2113
V16-87,-31.63305,83.8,4316
E39-23,-51.12194,126.1769,4703
RC9-66,1.96667,-80.45,4218
E49-19,-43.88694,90.1,907
V6-5,17.565,-63.56667,190
E48-20,-39.17805,89.37805,1030
RC10-114,-11.16667,-162.9167,2791
RC11-21,-17.26167,-35.96667,4021
Y6-21,-16.85,-74.36667,6505
V24-109,0.41667,158.8,2367
V27-23,54.73167,-53.11,830
RC8-94,-17.26167,-35.96667,4021
RC12-321,-4.7,50.01667,5077
V27-33,61.91667,-33.27167,2946
V23-61,74.03333,7.4,1928
V5-1,32.6,-69.5,5323
V14-69,-35.88306,15.91694,4870
V14-96,-2.83333,66.3,4135
RC13-256,-53.18167,0.355,2525
V23-79,60.91667,-17.56667,2478
V28-111,14.91667,-73.9,4010
RC9-14,27.37667,-76.945,1254
V29-178,42.85,-25.15,3448
A180-70,3.65,-18.3,4846
V29-179,44.01667,-24.53333,3331
V27-86,66.56667,1.11667,2900
V28-119,17.03333,-76.6,1781
V20-6,12.8,-60.46667,2450
RC9-150,-31.26667,114.5517,2703
RC9-140,-45.41694,121.1169,4400
V12-4,24.28167,-53.06833,5009
V20-175,-22.3,68.0,3526
V27-191,-33.055,-18.72333,3957
V27-181,0.065,-25.495,3601
V16-227,60.04167,-50.81667,3305
Y1-75,3.46667,-89.7,2198
V14-108,12.61694,45.63306,1176
RC13-147,12.88,-74.85,3941
Y6-24,-15.26667,-76.31667,4899
V27-44,65.02167,-6.22,2772
RC13-157,11.25,-78.15,3588
V24-208,-36.21667,45.65,3231
E48-3,-41.02,100.012,1174
V21-59,20.91667,-158.1,2992
V16-59,-50.05,35.16667,4868
RC13-243,-36.9,1.33,4790
RC17-126,7.28333,72.8,1743
RC13-253,-46.6,7.625,2494
RC11-46,-43.35833,-36.1,5179
E48-47,-32.05,98.38667,1696
E20-18,-44.55,-111.3167,2867
RC14-35,0.81667,89.95,3021
RC8-38,-41.88306,37.81694,3784
E8-12,-57.8,-23.81694,6167
V23-81,54.25,-16.83333,2393
V20-170,-21.8,69.21667,2479
V21-219,6.91667,-79.4,3277
V22-195,13.41667,-19.45,4210
V18-162,-38.05,-42.71667,5088
RC15-100,-42.96833,-33.855,4998
V24-166,-16.51667,148.05,781
V23-21,52.1,-45.45,4232
E49-33,-57.76305,100.042,1207
V26-52,5.84,-18.06667,4903
Y0-73,1.45,-87.91667,2707
V18-186,-38.98306,29.93306,4205
RC10-22,21.3,-69.65833,3832
RC11-121,-39.71667,82.25,3426
V16-218,47.85,-51.81667,179
A164-23,36.21667,-69.4,4512
RC17-114,19.19306,66.29,2967
K78-3,49.48167,-25.04667,3751
RC17-104,-15.59,58.85194,3834
V19-28,-2.36667,-84.65,2720
V22-202,14.4,-21.15,4310
V23-98,23.11667,-19.3,3506
V29-220,65.15,-4.0,2873
V19-256,-21.83306,10.8,3345
V14-98,0.63306,69.45,3893
12328-5,21.145,-18.57333,2812
V22-106,-46.13306,-10.9,3037
E45-71,-48.025,114.487,3660
V18-353,6.1,-82.08334,3016
A15-558,8.98333,51.71667,3985
RC12-263,-41.05167,-33.295,5020
RC11-69,-48.9,-41.0,5492
RC11-79,-49.0,-4.6,3385
E15-12,-58.68306,-108.8,4575
V26-30,29.385,-55.745,5592
V16-66,-42.65,45.66667,2985
V2-6,43.20833,-54.26667,4314
RC12-65,4.65,-144.9667,4868
V19-27,-0.46667,-82.06667,1373
V26-16,30.21667,-45.1,3799
V14-65,-41.06694,7.78306,4825
V16-50,-33.35,16.43306,2376
V27-143,39.71333,-20.15667,4932
V3-128,23.75833,-92.475,3590
V29-184,49.13334,-25.5,3645
BS0-1,71.0,19.9,187
V19-202,-6.96667,41.16667,2589
AR3-8,7.2,-82.01667,2082
E45-35,-53.495,111.3331,3843
V27-46,67.58334,-11.51667,1728
V19-308,29.01667,-41.4,3197
AR2-2,0.9,-88.01667,2592
V29-206,64.905,-29.29,1624
V27-114,55.05,-33.06667,2532
A179-13,23.91667,-75.75,1847
V29-170,22.46667,-20.06667,4455
V29-48,-6.26667,63.41667,3882
RC13-154,14.88333,-78.75,2308
V13-2,39.26667,-70.74167,2635
RC8-43,-48.66667,57.35,4319
RC11-94,-54.46667,53.05,4303
RC8-53,-39.38306,104.3669,4429
A164-15,36.13334,-68.9,4624
V14-101,8.65,58.56667,2849
Y1-5,45.0,-140.0,4374
AR3-23,8.45,-84.45,2488
RC11-117,-36.48306,69.55,4367
E45-78,-45.03695,114.3481,4031
RC15-93,-46.09667,-13.225,2714
V23-100,21.3,-22.66667,4579
A153-154,28.0,-38.76667,4020
RC9-163,17.87833,58.09,3005
V18-222,-38.56667,140.6167,1904
V27-10,42.27333,-60.495,3895
RC13-113,-1.65167,-103.6167,3195
V29-194,57.00333,-21.32167,2085
RC14-13,-37.38334,59.31667,5128
V16-115,-55.66667,141.2667,3147
V23-64,77.86667,7.26667,2529
RC13-275,-50.71667,13.41667,1984
SP8-4,31.84167,-18.26667,1445
V23-70,70.98333,6.68333,3047
V23-38,62.66,-27.51667,1426
RC11-128,-28.06667,95.96667,3926
V27-268,36.58,-52.44167,5447
RC11-138,-33.8,112.9831,3069
Y6-8,-13.75,-77.71667,5273
E48-13,-28.60667,93.60667,3382
V15-11,7.75,-79.05,249
RC11-12,0.91667,-43.76667,4145
Y6-12,-16.44333,-77.56333,2734
Y1-104,-2.3,-81.51667,3892
E11-4,-57.82806,-115.2081,4776
Y1-114,6.75,-79.76667,3333
A181-7,10.55,-57.31667,3770
V14-81,-28.425,43.76667,3634
V20-242,23.36667,-43.65,4565
V21-211,3.0,-88.36667,1443
V19-184,7.43333,61.06667,3471
RC15-108,-39.87333,-52.48,5082
RC17-98,-13.21667,65.61667,3409
E49-21,-42.18333,94.88333,3328
V14-64,-45.56667,6.0,4581
RC13-192,0.51667,-15.85,4839
V27-234,0.99667,1.985,4618
V27-142,36.99833,-22.90167,4726
E20-10,-60.2,-127.05,4474
V14-100,3.86694,65.51694,3682
RC11-106,-34.33306,54.21695,4212
V19-21,10.6,-79.35,3168
RC11-116,-34.91694,67.58305,4548
V23-16,46.0,-45.05,2813
