Event	Method/Device	Latitude	Longitude	Elevation [m]	Age [ka BP]	Depth sed [m]	CaCO3 [%]	Reference
V23-23	Piston corer	56.0830	-44.5500	-3292	21	0.86	10	Balsam and McCoy, 1987
V23-42	Piston corer	62.1830	-27.9300	-1514	21	0.70	14	Balsam and McCoy, 1987
V23-58	Piston corer	65.7670	-7.1170	-1796	21	0.60	10	Balsam and McCoy, 1987
V23-59	Piston corer	68.0333	0.0167	-3083	21	0.50	10	Balsam and McCoy, 1987
V23-60	Piston corer	70.0500	8.3170	-2974	21	1.00	8	Balsam and McCoy, 1987
V23-74	Piston corer	68.1830	-9.6000	-1926	21	0.90	10	Balsam and McCoy, 1987
V23-81	Piston corer	54.2500	-16.8300	-2393	21	2.95	16	Balsam and McCoy, 1987
V23-82	Piston corer	52.5830	-21.9300	-3974	21	1.10	19	Balsam and McCoy, 1987
V23-83	Piston corer	49.8670	-24.2500	-3871	21	0.99	93	Balsam and McCoy, 1987
V23-84	Piston corer	46.0000	-16.9200	-4513	21	0.81	17	Balsam and McCoy, 1987
V23-91	Piston corer	29.5830	-28.5700	-2758	21	0.30	72	Balsam and McCoy, 1987
V23-98	Piston corer	23.1170	-19.3000	-3506	21	0.70	51	Balsam and McCoy, 1987
V24-1	Piston corer	36.5000	-73.5000	-3012	21	2.65	15	Balsam and McCoy, 1987
V24-221	Piston corer	-32.0300	-2.8170	-4204	21	0.30	42	Balsam and McCoy, 1987
V24-229	Piston corer	-34.4500	-10.6000	-4202	21	0.30	75	Balsam and McCoy, 1987
V24-235	Piston corer	-33.2500	-19.5500	-3722	21	0.10	75	Balsam and McCoy, 1987
V24-237	Piston corer	-32.2000	-26.7330	-4193	21	0.10	58	Balsam and McCoy, 1987
V24-240	Piston corer	-31.7300	-28.2000	-4327	21	0.20	45	Balsam and McCoy, 1987
V25-21	Piston corer	26.4000	-45.4500	-3693	21	0.45	68	Balsam and McCoy, 1987
V25-42	Piston corer	12.5500	-50.6500	-4707	21	0.60	25	Balsam and McCoy, 1987
V25-44	Piston corer	11.5000	-45.1500	-4049	21	0.30	61	Balsam and McCoy, 1987
V25-56	Piston corer	-3.5500	-35.2300	-3512	21	0.99	35	Balsam and McCoy, 1987
V25-59	Piston corer	1.3670	-33.4800	-3824	21	0.70	54	Balsam and McCoy, 1987
V25-60	Piston corer	3.2830	-34.8300	-3749	21	0.40	48	Balsam and McCoy, 1987
V26-104	Piston corer	-0.0830	-41.7800	-3864	21	1.55	17	Balsam and McCoy, 1987
V26-175	Piston corer	33.9330	-74.4300	-3995	21	1.50	6	Balsam and McCoy, 1987
