Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Relative Abundance
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. falconensis,0.0353
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,B. digitata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. rubescens,0.005
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,T. humilis,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,T. quinqueloba,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,N. pachyderma,0.0025
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,N. incompta,0.2746
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,N. dutertrei,0.061
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. conglomerata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. hexagonus,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,P. obliquiloculata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. inflata,0.1436
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. truncatulinoides,0.0076
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. crassaformis,
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. hirsuta,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. scitula,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,D. anfracta,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. cultrata,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. tumida,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,C. nitida,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. glutinata,0.1096
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. eastropacia,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,T. iota,0
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,G. uvula,
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,O. universa,0.032
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. conglobatus,6e-04
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. ruber ruber,0.1365
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. ruber albus,0.0748
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. tenellus,0.0045
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,T. sacculifer,0.083
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,S. dehiscens,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. adamsi,
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. siphonifera,0.021
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. calida,0.0068
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. bulloides,0.1428
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. falconensis,0.0091
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,B. digitata,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. rubescens,0.0091
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,T. humilis,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,T. quinqueloba,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,N. pachyderma,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,N. incompta,0.17
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,N. dutertrei,0.03
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. conglomerata,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. hexagonus,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,P. obliquiloculata,0.0093
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. inflata,0.1858
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. truncatulinoides,0.0096
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. crassaformis,
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. hirsuta,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. scitula,0.0045
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,D. anfracta,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. cultrata,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. tumida,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,C. nitida,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. glutinata,0.034
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. eastropacia,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,T. iota,0
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,G. uvula,
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,O. universa,0.0154
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. conglobatus,0.0133
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. ruber ruber,0.0023
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. ruber albus,0.2173
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. tenellus,0.0091
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,T. sacculifer,0.0058
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,S. dehiscens,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. adamsi,
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. siphonifera,0.0046
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. calida,0.0755
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. bulloides,0.048
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. falconensis,0.08
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,B. digitata,0.0046
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,G. rubescens,0.0183
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,T. humilis,0
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,T. quinqueloba,0
