Event,Latitude,Longitude,Elevation,Depth sed,Species,Absolute Abundance
A172-1,17.233,-73.467,,0.4,G. inflata,
A172-1,17.233,-73.467,,0.4,G. crassaformis,
A172-1,17.233,-73.467,,0.4,G. hirsuta,
A172-1,17.233,-73.467,,0.4,G. scitula,
A172-1,17.233,-73.467,,0.4,G. glutinata,
A172-1,17.233,-73.467,,0.4,G. truncatulinoides,
A172-2,16.2,-72.317,-3070,0.6,O. universa,
A172-2,16.2,-72.317,-3070,0.6,G. conglobatus,
A172-2,16.2,-72.317,-3070,0.6,G. ruber albus,
A172-2,16.2,-72.317,-3070,0.6,G. tenellus,
A172-2,16.2,-72.317,-3070,0.6,T. sacculifer,
A172-2,16.2,-72.317,-3070,0.6,S. dehiscens,
A172-2,16.2,-72.317,-3070,0.6,G. siphonifera,
A172-2,16.2,-72.317,-3070,0.6,G. calida,
A172-2,16.2,-72.317,-3070,0.6,G. bulloides,
A172-2,16.2,-72.317,-3070,0.6,G. falconensis,
A172-2,16.2,-72.317,-3070,0.6,B. digitata,
A172-2,16.2,-72.317,-3070,0.6,G. rubescens,
A172-2,16.2,-72.317,-3070,0.6,T. quinqueloba,
A172-2,16.2,-72.317,-3070,0.6,N. pachyderma,
A172-2,16.2,-72.317,-3070,0.6,N. incompta,
A172-2,16.2,-72.317,-3070,0.6,N. dutertrei,
A172-2,16.2,-72.317,-3070,0.6,G. conglomerata,
A172-2,16.2,-72.317,-3070,0.6,G. hexagonus,
A172-2,16.2,-72.317,-3070,0.6,P. obliquiloculata,
A172-2,16.2,-72.317,-3070,0.6,G. inflata,
A172-2,16.2,-72.317,-3070,0.6,G. crassaformis,
A172-2,16.2,-72.317,-3070,0.6,G. hirsuta,
A172-2,16.2,-72.317,-3070,0.6,G. scitula,
A172-2,16.2,-72.317,-3070,0.6,G. glutinata,
A172-2,16.2,-72.317,-3070,0.6,G. truncatulinoides,
A173-4,33.867,-62.533,-3932,0.72,O. universa,
A173-4,33.867,-62.533,-3932,0.72,G. conglobatus,
A173-4,33.867,-62.533,-3932,0.72,G. ruber albus,
A173-4,33.867,-62.533,-3932,0.72,G. tenellus,
A173-4,33.867,-62.533,-3932,0.72,T. sacculifer,
A173-4,33.867,-62.533,-3932,0.72,S. dehiscens,
A173-4,33.867,-62.533,-3932,0.72,G. siphonifera,
A173-4,33.867,-62.533,-3932,0.72,G. calida,
A173-4,33.867,-62.533,-3932,0.72,G. bulloides,
A173-4,33.867,-62.533,-3932,0.72,G. falconensis,
A173-4,33.867,-62.533,-3932,0.72,B. digitata,
A173-4,33.867,-62.533,-3932,0.72,G. rubescens,
A173-4,33.867,-62.533,-3932,0.72,T. quinqueloba,
A173-4,33.867,-62.533,-3932,0.72,N. pachyderma,
A173-4,33.867,-62.533,-3932,0.72,N. incompta,
A173-4,33.867,-62.533,-3932,0.72,N. dutertrei,
A173-4,33.867,-62.533,-3932,0.72,G. conglomerata,
A173-4,33.867,-62.533,-3932,0.72,G. hexagonus,
A173-4,33.867,-62.533,-3932,0.72,P. obliquiloculata,
A173-4,33.867,-62.533,-3932,0.72,G. inflata,
A173-4,33.867,-62.533,-3932,0.72,G. crassaformis,
A173-4,33.867,-62.533,-3932,0.72,G. hirsuta,
A173-4,33.867,-62.533,-3932,0.72,G. scitula,
A173-4,33.867,-62.533,-3932,0.72,G. glutinata,
