Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
40.581833,-9.861167,3.89,G. falconensis,37
40.581833,-9.861167,3.89,B. digitata,0
40.581833,-9.861167,3.89,G. rubescens,0
40.581833,-9.861167,3.89,T. quinqueloba,54
40.581833,-9.861167,3.89,N. pachyderma,34
40.581833,-9.861167,3.89,N. incompta,190
40.581833,-9.861167,3.89,N. dutertrei,0
40.581833,-9.861167,3.89,P. obliquiloculata,0
40.581833,-9.861167,3.89,G. inflata,75
40.581833,-9.861167,3.89,G. crassaformis,0
40.581833,-9.861167,3.89,G. scitula,37
40.581833,-9.861167,3.89,G. cultrata,0
40.581833,-9.861167,3.89,G. tumida,0
40.581833,-9.861167,3.89,G. glutinata,59
40.581833,-9.861167,3.89,T. humilis,0
40.581833,-9.861167,3.89,C. nitida,0
40.581833,-9.861167,3.89,G. uvula,0
40.581833,-9.861167,3.89,T. iota,0
40.581833,-9.861167,3.89,G. truncatulinoides,0
40.581833,-9.861167,3.89,G. hirsuta,0
40.581833,-9.861167,3.92,O. universa,6
40.581833,-9.861167,3.92,G. conglobatus,0
40.581833,-9.861167,3.92,G. ruber ruber,0
40.581833,-9.861167,3.92,G. ruber albus,9
40.581833,-9.861167,3.92,G. tenellus,0
40.581833,-9.861167,3.92,T. sacculifer,0
40.581833,-9.861167,3.92,S. dehiscens,0
40.581833,-9.861167,3.92,G. eastropacia,7
40.581833,-9.861167,3.92,G. calida,0
40.581833,-9.861167,3.92,G. bulloides,70
40.581833,-9.861167,3.92,G. falconensis,43
40.581833,-9.861167,3.92,B. digitata,0
40.581833,-9.861167,3.92,G. rubescens,0
40.581833,-9.861167,3.92,T. quinqueloba,53
40.581833,-9.861167,3.92,N. pachyderma,40
40.581833,-9.861167,3.92,N. incompta,184
40.581833,-9.861167,3.92,N. dutertrei,0
40.581833,-9.861167,3.92,P. obliquiloculata,0
40.581833,-9.861167,3.92,G. inflata,71
40.581833,-9.861167,3.92,G. crassaformis,0
40.581833,-9.861167,3.92,G. scitula,39
40.581833,-9.861167,3.92,G. cultrata,0
40.581833,-9.861167,3.92,G. tumida,0
40.581833,-9.861167,3.92,G. glutinata,68
40.581833,-9.861167,3.92,T. humilis,0
40.581833,-9.861167,3.92,C. nitida,0
40.581833,-9.861167,3.92,G. uvula,0
40.581833,-9.861167,3.92,T. iota,0
40.581833,-9.861167,3.92,G. truncatulinoides,1
40.581833,-9.861167,3.92,G. hirsuta,0
40.581833,-9.861167,3.95,O. universa,6
40.581833,-9.861167,3.95,G. conglobatus,0
40.581833,-9.861167,3.95,G. ruber ruber,0
40.581833,-9.861167,3.95,G. ruber albus,11
40.581833,-9.861167,3.95,G. tenellus,0
40.581833,-9.861167,3.95,T. sacculifer,0
40.581833,-9.861167,3.95,S. dehiscens,0
40.581833,-9.861167,3.95,G. eastropacia,3
40.581833,-9.861167,3.95,G. calida,0
40.581833,-9.861167,3.95,G. bulloides,63
40.581833,-9.861167,3.95,G. falconensis,34
40.581833,-9.861167,3.95,B. digitata,0
40.581833,-9.861167,3.95,G. rubescens,1
40.581833,-9.861167,3.95,T. quinqueloba,23
40.581833,-9.861167,3.95,N. pachyderma,30
40.581833,-9.861167,3.95,N. incompta,134
40.581833,-9.861167,3.95,N. dutertrei,0
40.581833,-9.861167,3.95,P. obliquiloculata,0
40.581833,-9.861167,3.95,G. inflata,95
40.581833,-9.861167,3.95,G. crassaformis,0
40.581833,-9.861167,3.95,G. scitula,26
40.581833,-9.861167,3.95,G. cultrata,0
40.581833,-9.861167,3.95,G. tumida,0
40.581833,-9.861167,3.95,G. glutinata,31
40.581833,-9.861167,3.95,T. humilis,0
40.581833,-9.861167,3.95,C. nitida,0
40.581833,-9.861167,3.95,G. uvula,0
40.581833,-9.861167,3.95,T. iota,0
40.581833,-9.861167,3.95,G. truncatulinoides,0
40.581833,-9.861167,3.95,G. hirsuta,0
40.581833,-9.861167,3.98,O. universa,3
40.581833,-9.861167,3.98,G. conglobatus,0
40.581833,-9.861167,3.98,G. ruber ruber,0
40.581833,-9.861167,3.98,G. ruber albus,14
40.581833,-9.861167,3.98,G. tenellus,0
40.581833,-9.861167,3.98,T. sacculifer,0
40.581833,-9.861167,3.98,S. dehiscens,0
40.581833,-9.861167,3.98,G. eastropacia,4
40.581833,-9.861167,3.98,G. calida,0
40.581833,-9.861167,3.98,G. bulloides,49
40.581833,-9.861167,3.98,G. falconensis,35
40.581833,-9.861167,3.98,B. digitata,0
40.581833,-9.861167,3.98,G. rubescens,0
40.581833,-9.861167,3.98,T. quinqueloba,40
40.581833,-9.861167,3.98,N. pachyderma,30
40.581833,-9.861167,3.98,N. incompta,96
40.581833,-9.861167,3.98,N. dutertrei,0
40.581833,-9.861167,3.98,P. obliquiloculata,0
40.581833,-9.861167,3.98,G. inflata,68
40.581833,-9.861167,3.98,G. crassaformis,0
40.581833,-9.861167,3.98,G. scitula,25
40.581833,-9.861167,3.98,G. cultrata,0
40.581833,-9.861167,3.98,G. tumida,0
40.581833,-9.861167,3.98,G. glutinata,23
