Latitude,Longitude,Event,Elevation [m],Depth [m],Species,Relative Abundance
-6.5823,10.3186,GeoB1008-3,-3124,2.63,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. digitata,0.0017
-6.5823,10.3186,GeoB1008-3,-3124,2.63,T. humilis,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,C. nitida,0.0017
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. rubescens,0.005
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. uvula,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,P. obliquiloculata,0.0017
-6.5823,10.3186,GeoB1008-3,-3124,2.63,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,-3124,2.63,G. theyeri,0.0116
-6.5823,10.3186,GeoB1008-3,-3124,2.63,T. iota,0
-11.7705,11.6819,GeoB1016-3,-3411,0.73,G. bulloides,0.2468
-11.7705,11.6819,GeoB1016-3,-3411,0.73,G. crassaformis,0.0149
-11.7705,11.6819,GeoB1016-3,-3411,0.73,N. dutertrei,0.0407
-11.7705,11.6819,GeoB1016-3,-3411,0.73,G. inflata,0.2681
-11.7705,11.6819,GeoB1016-3,-3411,0.73,N. incompta,0.0885
-11.7705,11.6819,GeoB1016-3,-3411,0.73,N. pachyderma,0.0026
-11.7705,11.6819,GeoB1016-3,-3411,0.73,G. ruber albus,0.0084
-11.7705,11.6819,GeoB1016-3,-3411,0.73,G. scitula,0.0788
