Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Absolute Abundance
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,T. sacculifer,8
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,S. dehiscens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. adamsi,
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. siphonifera,12
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. calida,2
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. bulloides,113
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. falconensis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,B. digitata,7
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. rubescens,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,T. humilis,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,T. quinqueloba,1
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,N. pachyderma,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,N. dutertrei,6
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,N. incompta,22
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. conglomerata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. hexagonus,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,P. obliquiloculata,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. inflata,65
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. truncatulinoides,0
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,G. crassaformis,27
