Event,Latitude,Longitude,Elevation,Depth,Species,Absolute Abundance
A164-16,36.15,-69.15,-4624,7,N. incompta,10
A164-16,36.15,-69.15,-4624,7,N. dutertrei,36
A164-16,36.15,-69.15,-4624,7,G. conglomerata,0
A164-16,36.15,-69.15,-4624,7,G. hexagonus,0
A164-16,36.15,-69.15,-4624,7,P. obliquiloculata,14
A164-16,36.15,-69.15,-4624,7,G. inflata,31
A164-16,36.15,-69.15,-4624,7,T. truncatulinoides,33
A164-16,36.15,-69.15,-4624,7,G. crassaformis,0
A164-16,36.15,-69.15,-4624,7,G. hirsuta,17
A164-16,36.15,-69.15,-4624,7,G. scitula,0
A164-16,36.15,-69.15,-4624,7,D. anfracta,0
A164-16,36.15,-69.15,-4624,7,G. cultrata,3
A164-16,36.15,-69.15,-4624,7,G. tumida,6
A164-16,36.15,-69.15,-4624,7,C. nitida,0
A164-16,36.15,-69.15,-4624,7,G. glutinata,34
A164-16,36.15,-69.15,-4624,7,T. iota,0
A164-16,36.15,-69.15,-4624,7,G. uvula,0
A164-16,36.15,-69.15,-4624,7,B. pumilio,0
A164-16,36.15,-69.15,-4624,7,H. pelagica,0
A164-16,36.15,-69.15,-4624,7,H. digitata,0
A164-17,35.7833,-68.9333,-4824,8,O. universa,1
A164-17,35.7833,-68.9333,-4824,8,G. conglobatus,4
A164-17,35.7833,-68.9333,-4824,8,G. ruber ruber,3
A164-17,35.7833,-68.9333,-4824,8,G. ruber albus,65
A164-17,35.7833,-68.9333,-4824,8,G. tenellus,0
A164-17,35.7833,-68.9333,-4824,8,T. sacculifer,25
A164-17,35.7833,-68.9333,-4824,8,S. dehiscens,0
A164-17,35.7833,-68.9333,-4824,8,G. adamsi,0
A164-17,35.7833,-68.9333,-4824,8,G. aequilateralis,5
A164-17,35.7833,-68.9333,-4824,8,G. calida,2
A164-17,35.7833,-68.9333,-4824,8,G. bulloides,69
A164-17,35.7833,-68.9333,-4824,8,G. falconensis,6
A164-17,35.7833,-68.9333,-4824,8,G. digitata,2
