Latitude,Longitude,Event,Depth [m],Species,Absolute Abundance
-6.5823,10.3186,GeoB1008-3,2.58,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.58,G. glutinata,1
-6.5823,10.3186,GeoB1008-3,2.58,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.58,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.58,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.58,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,2.58,G. ruber ruber,38
-6.5823,10.3186,GeoB1008-3,2.58,T. sacculifer,7
-6.5823,10.3186,GeoB1008-3,2.58,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.58,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.58,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.58,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.58,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.58,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.58,G. digitata,6
-6.5823,10.3186,GeoB1008-3,2.58,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.58,C. nitida,0
-6.5823,10.3186,GeoB1008-3,2.58,G. rubescens,0
-6.5823,10.3186,GeoB1008-3,2.58,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.58,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.58,P. obliquiloculata,0
-6.5823,10.3186,GeoB1008-3,2.58,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.58,G. theyeri,6
-6.5823,10.3186,GeoB1008-3,2.58,T. iota,0
-6.5823,10.3186,GeoB1008-3,2.63,G. bulloides,244
-6.5823,10.3186,GeoB1008-3,2.63,G. crassaformis,14
-6.5823,10.3186,GeoB1008-3,2.63,N. dutertrei,10
-6.5823,10.3186,GeoB1008-3,2.63,G. inflata,120
-6.5823,10.3186,GeoB1008-3,2.63,N. incompta,84
-6.5823,10.3186,GeoB1008-3,2.63,N. pachyderma,3
-6.5823,10.3186,GeoB1008-3,2.63,G. ruber albus,16
-6.5823,10.3186,GeoB1008-3,2.63,G. scitula,8
-6.5823,10.3186,GeoB1008-3,2.63,O. universa,66
-6.5823,10.3186,GeoB1008-3,2.63,G. aequilateralis,1
-6.5823,10.3186,GeoB1008-3,2.63,G. calida,3
-6.5823,10.3186,GeoB1008-3,2.63,G. falconensis,0
-6.5823,10.3186,GeoB1008-3,2.63,G. glutinata,1
-6.5823,10.3186,GeoB1008-3,2.63,G. hirsuta,0
-6.5823,10.3186,GeoB1008-3,2.63,G. menardii,0
-6.5823,10.3186,GeoB1008-3,2.63,H. pelagica,0
-6.5823,10.3186,GeoB1008-3,2.63,T. quinqueloba,0
-6.5823,10.3186,GeoB1008-3,2.63,G. ruber ruber,12
-6.5823,10.3186,GeoB1008-3,2.63,T. sacculifer,4
-6.5823,10.3186,GeoB1008-3,2.63,G. tumida,0
-6.5823,10.3186,GeoB1008-3,2.63,G. tenellus,0
-6.5823,10.3186,GeoB1008-3,2.63,G. truncatulinoides,0
-6.5823,10.3186,GeoB1008-3,2.63,G. conglobatus,0
-6.5823,10.3186,GeoB1008-3,2.63,G. conglomerata,0
-6.5823,10.3186,GeoB1008-3,2.63,S. dehiscens,0
-6.5823,10.3186,GeoB1008-3,2.63,G. digitata,1
-6.5823,10.3186,GeoB1008-3,2.63,T. humilis,0
-6.5823,10.3186,GeoB1008-3,2.63,C. nitida,1
-6.5823,10.3186,GeoB1008-3,2.63,G. rubescens,3
-6.5823,10.3186,GeoB1008-3,2.63,G. hexagonus,0
-6.5823,10.3186,GeoB1008-3,2.63,G. uvula,0
-6.5823,10.3186,GeoB1008-3,2.63,P. obliquiloculata,1
-6.5823,10.3186,GeoB1008-3,2.63,D. anfracta,0
-6.5823,10.3186,GeoB1008-3,2.63,G. theyeri,7
-6.5823,10.3186,GeoB1008-3,2.63,T. iota,0
-11.7705,11.6819,GeoB1016-3,0.73,G. bulloides,171
-11.7705,11.6819,GeoB1016-3,0.73,G. crassaformis,10
-11.7705,11.6819,GeoB1016-3,0.73,N. dutertrei,28
-11.7705,11.6819,GeoB1016-3,0.73,G. inflata,186
-11.7705,11.6819,GeoB1016-3,0.73,N. incompta,61
-11.7705,11.6819,GeoB1016-3,0.73,N. pachyderma,1
-11.7705,11.6819,GeoB1016-3,0.73,G. ruber albus,5
-11.7705,11.6819,GeoB1016-3,0.73,G. scitula,54
-11.7705,11.6819,GeoB1016-3,0.73,O. universa,94
-11.7705,11.6819,GeoB1016-3,0.73,G. aequilateralis,0
-11.7705,11.6819,GeoB1016-3,0.73,G. calida,2
-11.7705,11.6819,GeoB1016-3,0.73,G. falconensis,1
-11.7705,11.6819,GeoB1016-3,0.73,G. glutinata,9
-11.7705,11.6819,GeoB1016-3,0.73,G. hirsuta,0
-11.7705,11.6819,GeoB1016-3,0.73,G. menardii,0
-11.7705,11.6819,GeoB1016-3,0.73,H. pelagica,0
-11.7705,11.6819,GeoB1016-3,0.73,T. quinqueloba,1
-11.7705,11.6819,GeoB1016-3,0.73,G. ruber ruber,9
-11.7705,11.6819,GeoB1016-3,0.73,T. sacculifer,7
-11.7705,11.6819,GeoB1016-3,0.73,G. tumida,0
